,origin,period,destin,trade_value_usd,period_date
130,Jordan,201407,United Kingdom,36307,2014-07-01
131,Lithuania,201407,United Kingdom,22984,2014-07-01
132,Netherlands,201407,United Kingdom,16860420,2014-07-01
133,Poland,201407,United Kingdom,27387,2014-07-01
134,Spain,201407,United Kingdom,381837,2014-07-01
135,Turkey,201407,United Kingdom,45461,2014-07-01
140,Belgium,201408,United Kingdom,16123,2014-08-01
141,Denmark,201408,United Kingdom,2245,2014-08-01
142,Dominican Rep.,201408,United Kingdom,3214,2014-08-01
143,France,201408,United Kingdom,20945,2014-08-01
144,Ireland,201408,United Kingdom,77426,2014-08-01
145,Italy,201408,United Kingdom,1963,2014-08-01
146,Jordan,201408,United Kingdom,27900,2014-08-01
147,Lithuania,201408,United Kingdom,16824,2014-08-01
148,Netherlands,201408,United Kingdom,13136423,2014-08-01
149,Poland,201408,United Kingdom,26028,2014-08-01
150,Portugal,201408,United Kingdom,73541,2014-08-01
151,Spain,201408,United Kingdom,311350,2014-08-01
152,Turkey,201408,United Kingdom,39204,2014-08-01
157,Belgium,201409,United Kingdom,13653,2014-09-01
158,France,201409,United Kingdom,33608,2014-09-01
159,Germany,201409,United Kingdom,65296,2014-09-01
160,Ireland,201409,United Kingdom,56478,2014-09-01
161,Italy,201409,United Kingdom,1711,2014-09-01
162,Jordan,201409,United Kingdom,60399,2014-09-01
163,Lithuania,201409,United Kingdom,18306,2014-09-01
164,Netherlands,201409,United Kingdom,10780105,2014-09-01
165,Poland,201409,United Kingdom,22958,2014-09-01
166,Spain,201409,United Kingdom,566961,2014-09-01
167,Turkey,201409,United Kingdom,45338,2014-09-01
174,Belgium,201410,United Kingdom,7684,2014-10-01
175,Denmark,201410,United Kingdom,2195,2014-10-01
176,France,201410,United Kingdom,100374,2014-10-01
177,Germany,201410,United Kingdom,1479429,2014-10-01
178,Ireland,201410,United Kingdom,32583,2014-10-01
179,Italy,201410,United Kingdom,2182,2014-10-01
180,Jordan,201410,United Kingdom,116984,2014-10-01
181,Lithuania,201410,United Kingdom,9935,2014-10-01
182,Netherlands,201410,United Kingdom,9544515,2014-10-01
183,Poland,201410,United Kingdom,21195,2014-10-01
184,Spain,201410,United Kingdom,4508824,2014-10-01
185,Turkey,201410,United Kingdom,47701,2014-10-01
190,Belgium,201411,United Kingdom,16530,2014-11-01
191,France,201411,United Kingdom,81215,2014-11-01
192,Germany,201411,United Kingdom,1144380,2014-11-01
193,Ireland,201411,United Kingdom,14803,2014-11-01
194,Italy,201411,United Kingdom,1907,2014-11-01
195,Jordan,201411,United Kingdom,132571,2014-11-01
196,Morocco,201411,United Kingdom,46139,2014-11-01
197,Netherlands,201411,United Kingdom,2647628,2014-11-01
198,Poland,201411,United Kingdom,10886,2014-11-01
199,Spain,201411,United Kingdom,9998855,2014-11-01
200,Turkey,201411,United Kingdom,68171,2014-11-01
207,Denmark,201412,United Kingdom,2036,2014-12-01
208,France,201412,United Kingdom,94571,2014-12-01
209,Germany,201412,United Kingdom,1033212,2014-12-01
210,Ireland,201412,United Kingdom,21188,2014-12-01
211,Italy,201412,United Kingdom,1071784,2014-12-01
212,Jordan,201412,United Kingdom,176759,2014-12-01
213,Morocco,201412,United Kingdom,273458,2014-12-01
214,Netherlands,201412,United Kingdom,1463223,2014-12-01
215,Poland,201412,United Kingdom,5087,2014-12-01
216,Spain,201412,United Kingdom,15660200,2014-12-01
217,Turkey,201412,United Kingdom,47453,2014-12-01
226,Belgium,201501,United Kingdom,16292,2015-01-01
227,Denmark,201501,United Kingdom,1515,2015-01-01
228,France,201501,United Kingdom,122268,2015-01-01
229,Germany,201501,United Kingdom,1177497,2015-01-01
230,Ghana,201501,United Kingdom,2001,2015-01-01
231,Ireland,201501,United Kingdom,13222,2015-01-01
232,Italy,201501,United Kingdom,859114,2015-01-01
233,Jordan,201501,United Kingdom,189539,2015-01-01
234,Lebanon,201501,United Kingdom,1882,2015-01-01
235,Morocco,201501,United Kingdom,162659,2015-01-01
236,Netherlands,201501,United Kingdom,2131408,2015-01-01
237,Poland,201501,United Kingdom,7449,2015-01-01
238,Spain,201501,United Kingdom,14820075,2015-01-01
239,Turkey,201501,United Kingdom,48219,2015-01-01
245,Denmark,201502,United Kingdom,1599,2015-02-01
246,France,201502,United Kingdom,65777,2015-02-01
247,Germany,201502,United Kingdom,1466257,2015-02-01
248,Iran,201502,United Kingdom,1763,2015-02-01
249,Ireland,201502,United Kingdom,7374,2015-02-01
250,Italy,201502,United Kingdom,1137,2015-02-01
251,Jordan,201502,United Kingdom,142674,2015-02-01
252,Lebanon,201502,United Kingdom,2325,2015-02-01
253,Morocco,201502,United Kingdom,110979,2015-02-01
254,Netherlands,201502,United Kingdom,2785178,2015-02-01
255,Poland,201502,United Kingdom,11965,2015-02-01
256,Spain,201502,United Kingdom,13840237,2015-02-01
257,Turkey,201502,United Kingdom,54775,2015-02-01
262,Belgium,201503,United Kingdom,8438,2015-03-01
263,Denmark,201503,United Kingdom,1420,2015-03-01
264,France,201503,United Kingdom,55328,2015-03-01
265,Germany,201503,United Kingdom,1538518,2015-03-01
266,Iran,201503,United Kingdom,3893,2015-03-01
267,Ireland,201503,United Kingdom,10180,2015-03-01
268,Italy,201503,United Kingdom,14270,2015-03-01
269,Jordan,201503,United Kingdom,140794,2015-03-01
270,Morocco,201503,United Kingdom,157847,2015-03-01
271,Netherlands,201503,United Kingdom,5510544,2015-03-01
272,Poland,201503,United Kingdom,16703,2015-03-01
273,Spain,201503,United Kingdom,10487382,2015-03-01
274,Turkey,201503,United Kingdom,61335,2015-03-01
279,Denmark,201504,United Kingdom,1545,2015-04-01
280,France,201504,United Kingdom,46404,2015-04-01
281,Germany,201504,United Kingdom,844703,2015-04-01
282,Ireland,201504,United Kingdom,12412,2015-04-01
283,Italy,201504,United Kingdom,3057,2015-04-01
284,Jordan,201504,United Kingdom,48996,2015-04-01
285,Lebanon,201504,United Kingdom,6863,2015-04-01
286,Morocco,201504,United Kingdom,66860,2015-04-01
287,Netherlands,201504,United Kingdom,10482264,2015-04-01
288,Poland,201504,United Kingdom,25424,2015-04-01
289,Spain,201504,United Kingdom,2955640,2015-04-01
290,Turkey,201504,United Kingdom,56136,2015-04-01
297,France,201505,United Kingdom,18917,2015-05-01
298,Germany,201505,United Kingdom,18050,2015-05-01
299,Ireland,201505,United Kingdom,10449,2015-05-01
300,Italy,201505,United Kingdom,2724,2015-05-01
301,Jordan,201505,United Kingdom,22684,2015-05-01
302,Lebanon,201505,United Kingdom,1959,2015-05-01
303,Lithuania,201505,United Kingdom,19075,2015-05-01
304,Netherlands,201505,United Kingdom,11823303,2015-05-01
305,Poland,201505,United Kingdom,42116,2015-05-01
306,Spain,201505,United Kingdom,1508866,2015-05-01
307,Turkey,201505,United Kingdom,51577,2015-05-01
313,Belgium,201506,United Kingdom,680,2015-06-01
314,Denmark,201506,United Kingdom,1905,2015-06-01
315,France,201506,United Kingdom,50947,2015-06-01
316,Germany,201506,United Kingdom,35215,2015-06-01
317,Ireland,201506,United Kingdom,11634,2015-06-01
318,Italy,201506,United Kingdom,4934,2015-06-01
319,Jordan,201506,United Kingdom,34212,2015-06-01
320,Lebanon,201506,United Kingdom,2526,2015-06-01
321,Lithuania,201506,United Kingdom,26793,2015-06-01
322,Netherlands,201506,United Kingdom,12424698,2015-06-01
323,Poland,201506,United Kingdom,92964,2015-06-01
324,Spain,201506,United Kingdom,1562582,2015-06-01
325,Turkey,201506,United Kingdom,60092,2015-06-01
332,Belgium,201507,United Kingdom,10974,2015-07-01
333,Denmark,201507,United Kingdom,8511,2015-07-01
334,France,201507,United Kingdom,14075,2015-07-01
335,Germany,201507,United Kingdom,10680,2015-07-01
336,Ireland,201507,United Kingdom,17737,2015-07-01
337,Italy,201507,United Kingdom,1511,2015-07-01
338,Jordan,201507,United Kingdom,23259,2015-07-01
339,Lebanon,201507,United Kingdom,2814,2015-07-01
340,Lithuania,201507,United Kingdom,25469,2015-07-01
341,Netherlands,201507,United Kingdom,13927548,2015-07-01
342,Poland,201507,United Kingdom,74290,2015-07-01
343,Spain,201507,United Kingdom,1158652,2015-07-01
344,Turkey,201507,United Kingdom,50531,2015-07-01
352,Denmark,201508,United Kingdom,5292,2015-08-01
353,France,201508,United Kingdom,18805,2015-08-01
354,Germany,201508,United Kingdom,13548,2015-08-01
355,Ghana,201508,United Kingdom,3208,2015-08-01
356,Ireland,201508,United Kingdom,13496,2015-08-01
357,Italy,201508,United Kingdom,992,2015-08-01
358,Jordan,201508,United Kingdom,30899,2015-08-01
359,Lithuania,201508,United Kingdom,27445,2015-08-01
360,Netherlands,201508,United Kingdom,15097738,2015-08-01
361,Poland,201508,United Kingdom,52548,2015-08-01
362,Spain,201508,United Kingdom,570802,2015-08-01
363,Turkey,201508,United Kingdom,39277,2015-08-01
371,Denmark,201509,United Kingdom,3079,2015-09-01
372,France,201509,United Kingdom,29560,2015-09-01
373,Germany,201509,United Kingdom,101664,2015-09-01
374,Ghana,201509,United Kingdom,2882,2015-09-01
375,Ireland,201509,United Kingdom,27185,2015-09-01
376,Italy,201509,United Kingdom,1143,2015-09-01
377,Jordan,201509,United Kingdom,63281,2015-09-01
378,Lebanon,201509,United Kingdom,1270,2015-09-01
379,Lithuania,201509,United Kingdom,20412,2015-09-01
380,Netherlands,201509,United Kingdom,11369234,2015-09-01
381,Poland,201509,United Kingdom,68132,2015-09-01
382,Spain,201509,United Kingdom,1007000,2015-09-01
383,Turkey,201509,United Kingdom,77635,2015-09-01
393,Denmark,201510,United Kingdom,9,2015-10-01
394,Dominican Rep.,201510,United Kingdom,1918,2015-10-01
395,France,201510,United Kingdom,42387,2015-10-01
396,Germany,201510,United Kingdom,846898,2015-10-01
397,Ireland,201510,United Kingdom,15510,2015-10-01
398,Italy,201510,United Kingdom,735,2015-10-01
399,Jordan,201510,United Kingdom,55782,2015-10-01
400,Lebanon,201510,United Kingdom,1754,2015-10-01
401,Lithuania,201510,United Kingdom,12549,2015-10-01
402,Netherlands,201510,United Kingdom,7780726,2015-10-01
403,Poland,201510,United Kingdom,86198,2015-10-01
404,Spain,201510,United Kingdom,3400569,2015-10-01
405,Turkey,201510,United Kingdom,26157,2015-10-01
414,Belgium,201511,United Kingdom,37430,2015-11-01
415,Dominican Rep.,201511,United Kingdom,6986,2015-11-01
416,France,201511,United Kingdom,118124,2015-11-01
417,Germany,201511,United Kingdom,1832787,2015-11-01
418,Ghana,201511,United Kingdom,2069,2015-11-01
419,Ireland,201511,United Kingdom,23607,2015-11-01
420,Italy,201511,United Kingdom,770,2015-11-01
421,Jordan,201511,United Kingdom,168450,2015-11-01
422,Morocco,201511,United Kingdom,353417,2015-11-01
423,Netherlands,201511,United Kingdom,3015741,2015-11-01
424,Poland,201511,United Kingdom,64063,2015-11-01
425,Spain,201511,United Kingdom,7583296,2015-11-01
426,Turkey,201511,United Kingdom,57891,2015-11-01
427,Egypt,201511,United Kingdom,6970,2015-11-01
439,Belgium,201512,United Kingdom,59348,2015-12-01
440,Canada,201512,United Kingdom,5452,2015-12-01
441,France,201512,United Kingdom,146461,2015-12-01
442,Germany,201512,United Kingdom,973795,2015-12-01
443,Ireland,201512,United Kingdom,28157,2015-12-01
444,Italy,201512,United Kingdom,1051,2015-12-01
445,Jordan,201512,United Kingdom,180289,2015-12-01
446,Morocco,201512,United Kingdom,330344,2015-12-01
447,Netherlands,201512,United Kingdom,1693362,2015-12-01
448,Poland,201512,United Kingdom,78429,2015-12-01
449,Spain,201512,United Kingdom,12776431,2015-12-01
450,Turkey,201512,United Kingdom,53325,2015-12-01
451,Egypt,201512,United Kingdom,9435,2015-12-01
462,France,201601,United Kingdom,116539,2016-01-01
463,Germany,201601,United Kingdom,1516685,2016-01-01
464,Ireland,201601,United Kingdom,13556,2016-01-01
465,Italy,201601,United Kingdom,840,2016-01-01
466,Jordan,201601,United Kingdom,169188,2016-01-01
467,Morocco,201601,United Kingdom,243342,2016-01-01
468,Netherlands,201601,United Kingdom,2037431,2016-01-01
469,Poland,201601,United Kingdom,22627,2016-01-01
470,Spain,201601,United Kingdom,12090486,2016-01-01
471,Turkey,201601,United Kingdom,45670,2016-01-01
472,Egypt,201601,United Kingdom,3442,2016-01-01
480,France,201602,United Kingdom,172666,2016-02-01
481,Germany,201602,United Kingdom,1873181,2016-02-01
482,Ireland,201602,United Kingdom,15606,2016-02-01
483,Italy,201602,United Kingdom,801,2016-02-01
484,Jordan,201602,United Kingdom,158719,2016-02-01
485,Morocco,201602,United Kingdom,182507,2016-02-01
486,Netherlands,201602,United Kingdom,2257018,2016-02-01
487,Poland,201602,United Kingdom,41765,2016-02-01
488,Spain,201602,United Kingdom,14685440,2016-02-01
489,Turkey,201602,United Kingdom,34116,2016-02-01
490,Egypt,201602,United Kingdom,12374,2016-02-01
501,France,201603,United Kingdom,172163,2016-03-01
502,Germany,201603,United Kingdom,779417,2016-03-01
503,Ireland,201603,United Kingdom,17934,2016-03-01
504,Italy,201603,United Kingdom,635,2016-03-01
505,Japan,201603,United Kingdom,3476,2016-03-01
506,Jordan,201603,United Kingdom,101834,2016-03-01
507,Latvia,201603,United Kingdom,38377,2016-03-01
508,Morocco,201603,United Kingdom,336548,2016-03-01
509,Netherlands,201603,United Kingdom,7102191,2016-03-01
510,Poland,201603,United Kingdom,28486,2016-03-01
511,Spain,201603,United Kingdom,8006147,2016-03-01
512,Turkey,201603,United Kingdom,43951,2016-03-01
513,Egypt,201603,United Kingdom,31566,2016-03-01
519,Belgium,201604,United Kingdom,7850,2016-04-01
520,France,201604,United Kingdom,99205,2016-04-01
521,Germany,201604,United Kingdom,858444,2016-04-01
522,Ireland,201604,United Kingdom,17031,2016-04-01
523,Italy,201604,United Kingdom,591,2016-04-01
524,Japan,201604,United Kingdom,1467,2016-04-01
525,Jordan,201604,United Kingdom,33327,2016-04-01
526,Morocco,201604,United Kingdom,161228,2016-04-01
527,Netherlands,201604,United Kingdom,8587362,2016-04-01
528,Poland,201604,United Kingdom,34376,2016-04-01
529,Spain,201604,United Kingdom,4734308,2016-04-01
530,Turkey,201604,United Kingdom,36348,2016-04-01
531,Egypt,201604,United Kingdom,12537,2016-04-01
541,Belgium,201605,United Kingdom,20718,2016-05-01
542,France,201605,United Kingdom,129860,2016-05-01
543,Germany,201605,United Kingdom,799243,2016-05-01
544,Ireland,201605,United Kingdom,14783,2016-05-01
545,Italy,201605,United Kingdom,970,2016-05-01
546,Jordan,201605,United Kingdom,49880,2016-05-01
547,Lithuania,201605,United Kingdom,24979,2016-05-01
548,Netherlands,201605,United Kingdom,12073776,2016-05-01
549,Poland,201605,United Kingdom,63360,2016-05-01
550,Spain,201605,United Kingdom,2499880,2016-05-01
551,Turkey,201605,United Kingdom,44071,2016-05-01
552,Egypt,201605,United Kingdom,7117,2016-05-01
559,Belgium,201606,United Kingdom,25094,2016-06-01
560,France,201606,United Kingdom,78018,2016-06-01
561,Germany,201606,United Kingdom,1672059,2016-06-01
562,Ireland,201606,United Kingdom,17830,2016-06-01
563,Italy,201606,United Kingdom,1596,2016-06-01
564,Jordan,201606,United Kingdom,31262,2016-06-01
565,Lithuania,201606,United Kingdom,23831,2016-06-01
566,Netherlands,201606,United Kingdom,12075887,2016-06-01
567,Poland,201606,United Kingdom,78421,2016-06-01
568,Romania,201606,United Kingdom,2388,2016-06-01
569,Spain,201606,United Kingdom,1575075,2016-06-01
570,Turkey,201606,United Kingdom,33462,2016-06-01
575,Belgium,201607,United Kingdom,52219,2016-07-01
576,France,201607,United Kingdom,35764,2016-07-01
577,Germany,201607,United Kingdom,865010,2016-07-01
578,Ireland,201607,United Kingdom,17408,2016-07-01
579,Italy,201607,United Kingdom,928,2016-07-01
580,Jordan,201607,United Kingdom,14559,2016-07-01
581,Lebanon,201607,United Kingdom,2848,2016-07-01
582,Lithuania,201607,United Kingdom,17993,2016-07-01
583,Netherlands,201607,United Kingdom,13436722,2016-07-01
584,Poland,201607,United Kingdom,87266,2016-07-01
585,Romania,201607,United Kingdom,2209,2016-07-01
586,Spain,201607,United Kingdom,1137559,2016-07-01
587,Turkey,201607,United Kingdom,37582,2016-07-01
588,Egypt,201607,United Kingdom,1391,2016-07-01
594,Belgium,201608,United Kingdom,54854,2016-08-01
595,France,201608,United Kingdom,8449,2016-08-01
596,Germany,201608,United Kingdom,589151,2016-08-01
597,Ireland,201608,United Kingdom,19278,2016-08-01
598,Italy,201608,United Kingdom,1018,2016-08-01
599,Jordan,201608,United Kingdom,42032,2016-08-01
600,Lebanon,201608,United Kingdom,1064,2016-08-01
601,Lithuania,201608,United Kingdom,15084,2016-08-01
602,Netherlands,201608,United Kingdom,15713981,2016-08-01
603,Poland,201608,United Kingdom,70087,2016-08-01
604,Romania,201608,United Kingdom,1474,2016-08-01
605,Spain,201608,United Kingdom,849053,2016-08-01
606,Turkey,201608,United Kingdom,35292,2016-08-01
615,Belgium,201609,United Kingdom,25779,2016-09-01
616,France,201609,United Kingdom,37812,2016-09-01
617,Germany,201609,United Kingdom,728183,2016-09-01
618,Ireland,201609,United Kingdom,12809,2016-09-01
619,Italy,201609,United Kingdom,1297,2016-09-01
620,Jordan,201609,United Kingdom,48948,2016-09-01
621,Lebanon,201609,United Kingdom,1056,2016-09-01
622,Lithuania,201609,United Kingdom,16955,2016-09-01
623,Netherlands,201609,United Kingdom,11743570,2016-09-01
624,Poland,201609,United Kingdom,47241,2016-09-01
625,Romania,201609,United Kingdom,11579,2016-09-01
626,Spain,201609,United Kingdom,1455057,2016-09-01
627,Thailand,201609,United Kingdom,1352,2016-09-01
628,Turkey,201609,United Kingdom,26938,2016-09-01
640,Belgium,201610,United Kingdom,8711,2016-10-01
641,France,201610,United Kingdom,39756,2016-10-01
642,Germany,201610,United Kingdom,1627654,2016-10-01
643,Iran,201610,United Kingdom,3086,2016-10-01
644,Ireland,201610,United Kingdom,11765,2016-10-01
645,Italy,201610,United Kingdom,1076,2016-10-01
646,Jordan,201610,United Kingdom,115432,2016-10-01
647,Lithuania,201610,United Kingdom,20285,2016-10-01
648,Netherlands,201610,United Kingdom,7020784,2016-10-01
649,Poland,201610,United Kingdom,67685,2016-10-01
650,Spain,201610,United Kingdom,3250940,2016-10-01
651,Turkey,201610,United Kingdom,52873,2016-10-01
652,Egypt,201610,United Kingdom,946,2016-10-01
661,Canada,201611,United Kingdom,16541,2016-11-01
662,France,201611,United Kingdom,127497,2016-11-01
663,Germany,201611,United Kingdom,2195097,2016-11-01
664,Iran,201611,United Kingdom,11825,2016-11-01
665,Ireland,201611,United Kingdom,11020,2016-11-01
666,Italy,201611,United Kingdom,2943,2016-11-01
667,Japan,201611,United Kingdom,1411,2016-11-01
668,Jordan,201611,United Kingdom,201629,2016-11-01
669,Morocco,201611,United Kingdom,223924,2016-11-01
670,Netherlands,201611,United Kingdom,3618480,2016-11-01
671,Poland,201611,United Kingdom,49561,2016-11-01
672,Spain,201611,United Kingdom,7985548,2016-11-01
673,Turkey,201611,United Kingdom,32546,2016-11-01
683,France,201612,United Kingdom,247125,2016-12-01
684,Germany,201612,United Kingdom,3111992,2016-12-01
685,Iran,201612,United Kingdom,5303,2016-12-01
686,Ireland,201612,United Kingdom,15178,2016-12-01
687,Italy,201612,United Kingdom,13646,2016-12-01
688,Jordan,201612,United Kingdom,152641,2016-12-01
689,Morocco,201612,United Kingdom,379045,2016-12-01
690,Netherlands,201612,United Kingdom,2469239,2016-12-01
691,Poland,201612,United Kingdom,25915,2016-12-01
692,Spain,201612,United Kingdom,11773948,2016-12-01
693,Turkey,201612,United Kingdom,78014,2016-12-01
694,Egypt,201612,United Kingdom,55158,2016-12-01
7,Cameroon,201401,Belgium,68,2014-01-01
8,France,201401,Belgium,76665,2014-01-01
9,Germany,201401,Belgium,1192753,2014-01-01
10,Israel,201401,Belgium,1606,2014-01-01
11,Italy,201401,Belgium,1211,2014-01-01
12,Luxembourg,201401,Belgium,109,2014-01-01
13,Morocco,201401,Belgium,6206,2014-01-01
14,Netherlands,201401,Belgium,485128,2014-01-01
15,Spain,201401,Belgium,2293054,2014-01-01
16,Turkey,201401,Belgium,23586,2014-01-01
25,France,201402,Belgium,32997,2014-02-01
26,Germany,201402,Belgium,970270,2014-02-01
27,Israel,201402,Belgium,1188,2014-02-01
28,Luxembourg,201402,Belgium,150,2014-02-01
29,Netherlands,201402,Belgium,1694076,2014-02-01
30,Spain,201402,Belgium,1814454,2014-02-01
31,Turkey,201402,Belgium,17905,2014-02-01
42,France,201403,Belgium,122879,2014-03-01
43,Germany,201403,Belgium,739612,2014-03-01
44,Israel,201403,Belgium,14,2014-03-01
45,Luxembourg,201403,Belgium,207,2014-03-01
46,Netherlands,201403,Belgium,3044395,2014-03-01
47,Spain,201403,Belgium,520129,2014-03-01
48,Turkey,201403,Belgium,2433,2014-03-01
58,France,201404,Belgium,323694,2014-04-01
59,Germany,201404,Belgium,386363,2014-04-01
60,Israel,201404,Belgium,760,2014-04-01
61,Luxembourg,201404,Belgium,235,2014-04-01
62,Netherlands,201404,Belgium,4499239,2014-04-01
63,Spain,201404,Belgium,55597,2014-04-01
74,France,201405,Belgium,286291,2014-05-01
75,Germany,201405,Belgium,495730,2014-05-01
76,Israel,201405,Belgium,27,2014-05-01
77,Luxembourg,201405,Belgium,449,2014-05-01
78,Netherlands,201405,Belgium,3580805,2014-05-01
79,Spain,201405,Belgium,32262,2014-05-01
89,France,201406,Belgium,666016,2014-06-01
90,Germany,201406,Belgium,332455,2014-06-01
91,Israel,201406,Belgium,26,2014-06-01
92,Luxembourg,201406,Belgium,267,2014-06-01
93,Netherlands,201406,Belgium,4016640,2014-06-01
94,Poland,201406,Belgium,2259,2014-06-01
95,Spain,201406,Belgium,31143,2014-06-01
106,Dominican Rep.,201407,Belgium,162,2014-07-01
107,France,201407,Belgium,523797,2014-07-01
108,Germany,201407,Belgium,359745,2014-07-01
109,Hungary,201407,Belgium,190412,2014-07-01
110,Israel,201407,Belgium,14,2014-07-01
111,Italy,201407,Belgium,27,2014-07-01
112,Luxembourg,201407,Belgium,569,2014-07-01
113,Netherlands,201407,Belgium,5803750,2014-07-01
114,Poland,201407,Belgium,799,2014-07-01
115,Spain,201407,Belgium,11616,2014-07-01
126,France,201408,Belgium,657358,2014-08-01
127,Germany,201408,Belgium,184253,2014-08-01
128,Luxembourg,201408,Belgium,306,2014-08-01
129,Netherlands,201408,Belgium,3684218,2014-08-01
130,Poland,201408,Belgium,533,2014-08-01
131,Romania,201408,Belgium,293,2014-08-01
132,Spain,201408,Belgium,15393,2014-08-01
133,Turkey,201408,Belgium,945,2014-08-01
143,Cameroon,201409,Belgium,26,2014-09-01
144,Dominican Rep.,201409,Belgium,168,2014-09-01
145,France,201409,Belgium,359241,2014-09-01
