,partner,period,trade_value_usd,reporter
93,Italy,201503,1648,United Kingdom
94,Lithuania,201503,1553,United Kingdom
95,Poland,201503,855,United Kingdom
96,World,201504,5216,United Kingdom
97,France,201504,136,United Kingdom
98,Ireland,201504,2695,United Kingdom
99,Lithuania,201504,1445,United Kingdom
100,Poland,201504,940,United Kingdom
103,World,201505,4827,United Kingdom
104,France,201505,71,United Kingdom
105,Ireland,201505,978,United Kingdom
106,Lithuania,201505,3777,United Kingdom
109,World,201506,5950,United Kingdom
110,France,201506,84,United Kingdom
111,Ireland,201506,722,United Kingdom
112,Lithuania,201506,5144,United Kingdom
115,World,201507,4911,United Kingdom
116,France,201507,1339,United Kingdom
117,Ireland,201507,1308,United Kingdom
118,Lithuania,201507,2035,United Kingdom
119,Poland,201507,229,United Kingdom
122,World,201508,4343,United Kingdom
123,France,201508,1851,United Kingdom
124,Ireland,201508,1498,United Kingdom
125,Lithuania,201508,874,United Kingdom
126,Poland,201508,120,United Kingdom
129,World,201509,245795,United Kingdom
130,France,201509,462,United Kingdom
131,Ireland,201509,461,United Kingdom
132,Italy,201509,179349,United Kingdom
133,Lithuania,201509,4555,United Kingdom
134,Netherlands,201509,54628,United Kingdom
135,Poland,201509,453,United Kingdom
136,Turkey,201509,5888,United Kingdom
139,World,201510,224837,United Kingdom
140,France,201510,5666,United Kingdom
141,Ireland,201510,1198,United Kingdom
142,Italy,201510,217191,United Kingdom
143,Poland,201510,782,United Kingdom
146,World,201511,464713,United Kingdom
147,France,201511,2413,United Kingdom
148,Ireland,201511,774,United Kingdom
149,Italy,201511,456217,United Kingdom
150,Lithuania,201511,3243,United Kingdom
151,Netherlands,201511,291,United Kingdom
152,Poland,201511,1775,United Kingdom
155,World,201512,26496,United Kingdom
156,France,201512,3935,United Kingdom
157,Germany,201512,15990,United Kingdom
158,Ireland,201512,2634,United Kingdom
159,Lithuania,201512,1625,United Kingdom
160,Netherlands,201512,1121,United Kingdom
161,Poland,201512,1192,United Kingdom
162,World,201601,13681,United Kingdom
163,France,201601,236,United Kingdom
164,Ireland,201601,426,United Kingdom
165,Lithuania,201601,1947,United Kingdom
166,Poland,201601,128,United Kingdom
167,Turkey,201601,10943,United Kingdom
170,World,201602,5122,United Kingdom
171,France,201602,267,United Kingdom
172,Ireland,201602,479,United Kingdom
173,Italy,201602,842,United Kingdom
174,Lithuania,201602,2938,United Kingdom
175,Poland,201602,596,United Kingdom
176,World,201603,6607,United Kingdom
177,France,201603,817,United Kingdom
178,Ireland,201603,2423,United Kingdom
179,Italy,201603,1842,United Kingdom
180,Lithuania,201603,1162,United Kingdom
181,Poland,201603,363,United Kingdom
184,World,201604,4302,United Kingdom
185,France,201604,66,United Kingdom
186,Ireland,201604,1796,United Kingdom
187,Lithuania,201604,1982,United Kingdom
188,Poland,201604,458,United Kingdom
191,World,201605,3635,United Kingdom
192,France,201605,64,United Kingdom
193,Italy,201605,1945,United Kingdom
194,Lithuania,201605,1627,United Kingdom
197,World,201606,20836,United Kingdom
198,Hungary,201606,6997,United Kingdom
199,Ireland,201606,2520,United Kingdom
200,Italy,201606,4573,United Kingdom
201,Lithuania,201606,2940,United Kingdom
202,Poland,201606,3807,United Kingdom
203,World,201607,13774,United Kingdom
204,France,201607,401,United Kingdom
205,Hungary,201607,8332,United Kingdom
206,Ireland,201607,1014,United Kingdom
207,Italy,201607,1937,United Kingdom
208,Lithuania,201607,1774,United Kingdom
209,Poland,201607,316,United Kingdom
210,World,201608,17788,United Kingdom
211,France,201608,1161,United Kingdom
212,Hungary,201608,6820,United Kingdom
213,Ireland,201608,976,United Kingdom
214,Italy,201608,348,United Kingdom
215,Netherlands,201608,7995,United Kingdom
216,Poland,201608,488,United Kingdom
219,World,201609,230628,United Kingdom
220,France,201609,121,United Kingdom
221,Ireland,201609,1133,United Kingdom
222,Italy,201609,228270,United Kingdom
223,Lithuania,201609,1076,United Kingdom
224,Poland,201609,28,United Kingdom
228,World,201610,83506,United Kingdom
229,Hungary,201610,2749,United Kingdom
230,Ireland,201610,516,United Kingdom
231,Italy,201610,77012,United Kingdom
232,Lithuania,201610,2496,United Kingdom
233,Poland,201610,733,United Kingdom
234,World,201611,157482,United Kingdom
235,France,201611,9528,United Kingdom
236,Hungary,201611,758,United Kingdom
237,Italy,201611,143292,United Kingdom
238,Lithuania,201611,1897,United Kingdom
239,Netherlands,201611,720,United Kingdom
240,Poland,201611,1287,United Kingdom
241,World,201612,29754,United Kingdom
242,France,201612,9058,United Kingdom
243,Hungary,201612,1081,United Kingdom
244,Italy,201612,16278,United Kingdom
245,Lithuania,201612,1818,United Kingdom
246,Netherlands,201612,851,United Kingdom
247,Poland,201612,668,United Kingdom
0,World,201401,5624,France
1,France,201401,84,France
2,Ireland,201401,987,France
3,Italy,201401,1308,France
4,Lithuania,201401,2773,France
5,Poland,201401,473,France
6,World,201402,9564,France
7,Ireland,201402,1636,France
8,Italy,201402,2966,France
9,Lithuania,201402,3450,France
10,Poland,201402,1512,France
11,World,201403,4987,France
12,Lithuania,201403,4187,France
13,Poland,201403,800,France
14,World,201404,10823,France
15,France,201404,90,France
16,Ireland,201404,370,France
17,Italy,201404,1898,France
18,Lithuania,201404,3862,France
19,Turkey,201404,4603,France
20,World,201405,5773,France
21,Ireland,201405,817,France
22,Lithuania,201405,3785,France
23,Poland,201405,1171,France
24,World,201406,4449,France
25,France,201406,90,France
26,Ireland,201406,810,France
27,Italy,201406,1993,France
28,Poland,201406,1557,France
29,World,201407,4758,France
30,France,201407,1262,France
31,Ireland,201407,399,France
32,Lithuania,201407,2385,France
33,Poland,201407,712,France
34,World,201408,37410,France
35,France,201408,1861,France
36,Ireland,201408,1191,France
37,Italy,201408,1336,France
38,Lithuania,201408,3275,France
39,Netherlands,201408,29014,France
40,Poland,201408,733,France
44,World,201409,182326,France
45,France,201409,231,France
46,Ireland,201409,986,France
47,Italy,201409,147778,France
48,Lithuania,201409,2493,France
49,Netherlands,201409,29172,France
50,Poland,201409,1665,France
53,World,201410,197811,France
54,France,201410,374,France
55,Italy,201410,193005,France
56,Lithuania,201410,3114,France
57,Netherlands,201410,80,France
58,Poland,201410,1237,France
61,World,201411,233107,France
62,France,201411,7060,France
63,Ireland,201411,1541,France
64,Italy,201411,209724,France
65,Lithuania,201411,3304,France
66,Netherlands,201411,9947,France
67,Poland,201411,1532,France
68,World,201412,9586,France
69,France,201412,4786,France
70,Ireland,201412,997,France
71,Netherlands,201412,1671,France
72,Poland,201412,2133,France
76,World,201501,7889,France
77,France,201501,275,France
78,Ireland,201501,1237,France
79,Italy,201501,1521,France
80,Lithuania,201501,2561,France
81,Netherlands,201501,1860,France
82,Poland,201501,434,France
83,World,201502,2484,France
84,France,201502,254,France
85,Ireland,201502,529,France
86,Lithuania,201502,1018,France
87,Poland,201502,684,France
90,World,201503,5070,France
91,France,201503,162,France
92,Ireland,201503,852,France
93,Italy,201503,1648,France
94,Lithuania,201503,1553,France
95,Poland,201503,855,France
96,World,201504,5216,France
97,France,201504,136,France
98,Ireland,201504,2695,France
99,Lithuania,201504,1445,France
100,Poland,201504,940,France
103,World,201505,4827,France
104,France,201505,71,France
105,Ireland,201505,978,France
106,Lithuania,201505,3777,France
109,World,201506,5950,France
110,France,201506,84,France
111,Ireland,201506,722,France
112,Lithuania,201506,5144,France
115,World,201507,4911,France
116,France,201507,1339,France
117,Ireland,201507,1308,France
118,Lithuania,201507,2035,France
119,Poland,201507,229,France
122,World,201508,4343,France
123,France,201508,1851,France
124,Ireland,201508,1498,France
125,Lithuania,201508,874,France
126,Poland,201508,120,France
129,World,201509,245795,France
130,France,201509,462,France
131,Ireland,201509,461,France
132,Italy,201509,179349,France
133,Lithuania,201509,4555,France
134,Netherlands,201509,54628,France
135,Poland,201509,453,France
136,Turkey,201509,5888,France
139,World,201510,224837,France
140,France,201510,5666,France
141,Ireland,201510,1198,France
142,Italy,201510,217191,France
143,Poland,201510,782,France
146,World,201511,464713,France
147,France,201511,2413,France
148,Ireland,201511,774,France
149,Italy,201511,456217,France
150,Lithuania,201511,3243,France
151,Netherlands,201511,291,France
152,Poland,201511,1775,France
155,World,201512,26496,France
156,France,201512,3935,France
157,Germany,201512,15990,France
158,Ireland,201512,2634,France
159,Lithuania,201512,1625,France
160,Netherlands,201512,1121,France
161,Poland,201512,1192,France
162,World,201601,13681,France
163,France,201601,236,France
164,Ireland,201601,426,France
165,Lithuania,201601,1947,France
166,Poland,201601,128,France
167,Turkey,201601,10943,France
170,World,201602,5122,France
171,France,201602,267,France
172,Ireland,201602,479,France
173,Italy,201602,842,France
174,Lithuania,201602,2938,France
175,Poland,201602,596,France
176,World,201603,6607,France
177,France,201603,817,France
178,Ireland,201603,2423,France
179,Italy,201603,1842,France
180,Lithuania,201603,1162,France
181,Poland,201603,363,France
184,World,201604,4302,France
185,France,201604,66,France
186,Ireland,201604,1796,France
187,Lithuania,201604,1982,France
188,Poland,201604,458,France
191,World,201605,3635,France
192,France,201605,64,France
193,Italy,201605,1945,France
194,Lithuania,201605,1627,France
197,World,201606,20836,France
198,Hungary,201606,6997,France
199,Ireland,201606,2520,France
200,Italy,201606,4573,France
201,Lithuania,201606,2940,France
202,Poland,201606,3807,France
203,World,201607,13774,France
204,France,201607,401,France
205,Hungary,201607,8332,France
206,Ireland,201607,1014,France
207,Italy,201607,1937,France
208,Lithuania,201607,1774,France
209,Poland,201607,316,France
210,World,201608,17788,France
211,France,201608,1161,France
212,Hungary,201608,6820,France
213,Ireland,201608,976,France
214,Italy,201608,348,France
215,Netherlands,201608,7995,France
216,Poland,201608,488,France
219,World,201609,230628,France
220,France,201609,121,France
221,Ireland,201609,1133,France
222,Italy,201609,228270,France
223,Lithuania,201609,1076,France
224,Poland,201609,28,France
228,World,201610,83506,France
229,Hungary,201610,2749,France
230,Ireland,201610,516,France
231,Italy,201610,77012,France
232,Lithuania,201610,2496,France
233,Poland,201610,733,France
234,World,201611,157482,France
235,France,201611,9528,France
236,Hungary,201611,758,France
237,Italy,201611,143292,France
238,Lithuania,201611,1897,France
239,Netherlands,201611,720,France
240,Poland,201611,1287,France
241,World,201612,29754,France
242,France,201612,9058,France
243,Hungary,201612,1081,France
244,Italy,201612,16278,France
245,Lithuania,201612,1818,France
246,Netherlands,201612,851,France
247,Poland,201612,668,France
0,World,201401,5624,Belgium
1,France,201401,84,Belgium
2,Ireland,201401,987,Belgium
3,Italy,201401,1308,Belgium
4,Lithuania,201401,2773,Belgium
5,Poland,201401,473,Belgium
6,World,201402,9564,Belgium
7,Ireland,201402,1636,Belgium
8,Italy,201402,2966,Belgium
9,Lithuania,201402,3450,Belgium
10,Poland,201402,1512,Belgium
11,World,201403,4987,Belgium
12,Lithuania,201403,4187,Belgium
13,Poland,201403,800,Belgium
14,World,201404,10823,Belgium
15,France,201404,90,Belgium
16,Ireland,201404,370,Belgium
17,Italy,201404,1898,Belgium
18,Lithuania,201404,3862,Belgium
19,Turkey,201404,4603,Belgium
20,World,201405,5773,Belgium
21,Ireland,201405,817,Belgium
22,Lithuania,201405,3785,Belgium
23,Poland,201405,1171,Belgium
24,World,201406,4449,Belgium
25,France,201406,90,Belgium
26,Ireland,201406,810,Belgium
27,Italy,201406,1993,Belgium
28,Poland,201406,1557,Belgium
29,World,201407,4758,Belgium
30,France,201407,1262,Belgium
31,Ireland,201407,399,Belgium
32,Lithuania,201407,2385,Belgium
33,Poland,201407,712,Belgium
34,World,201408,37410,Belgium
35,France,201408,1861,Belgium
36,Ireland,201408,1191,Belgium
37,Italy,201408,1336,Belgium
38,Lithuania,201408,3275,Belgium
39,Netherlands,201408,29014,Belgium
40,Poland,201408,733,Belgium
44,World,201409,182326,Belgium
45,France,201409,231,Belgium
46,Ireland,201409,986,Belgium
47,Italy,201409,147778,Belgium
48,Lithuania,201409,2493,Belgium
49,Netherlands,201409,29172,Belgium
50,Poland,201409,1665,Belgium
53,World,201410,197811,Belgium
54,France,201410,374,Belgium
55,Italy,201410,193005,Belgium
56,Lithuania,201410,3114,Belgium
57,Netherlands,201410,80,Belgium
58,Poland,201410,1237,Belgium
61,World,201411,233107,Belgium
62,France,201411,7060,Belgium
63,Ireland,201411,1541,Belgium
64,Italy,201411,209724,Belgium
65,Lithuania,201411,3304,Belgium
66,Netherlands,201411,9947,Belgium
67,Poland,201411,1532,Belgium
68,World,201412,9586,Belgium
69,France,201412,4786,Belgium
70,Ireland,201412,997,Belgium
71,Netherlands,201412,1671,Belgium
72,Poland,201412,2133,Belgium
76,World,201501,7889,Belgium
77,France,201501,275,Belgium
78,Ireland,201501,1237,Belgium
79,Italy,201501,1521,Belgium
80,Lithuania,201501,2561,Belgium
81,Netherlands,201501,1860,Belgium
82,Poland,201501,434,Belgium
83,World,201502,2484,Belgium
84,France,201502,254,Belgium
85,Ireland,201502,529,Belgium
86,Lithuania,201502,1018,Belgium
87,Poland,201502,684,Belgium
90,World,201503,5070,Belgium
91,France,201503,162,Belgium
92,Ireland,201503,852,Belgium
93,Italy,201503,1648,Belgium
94,Lithuania,201503,1553,Belgium
95,Poland,201503,855,Belgium
96,World,201504,5216,Belgium
97,France,201504,136,Belgium
98,Ireland,201504,2695,Belgium
99,Lithuania,201504,1445,Belgium
100,Poland,201504,940,Belgium
103,World,201505,4827,Belgium
104,France,201505,71,Belgium
105,Ireland,201505,978,Belgium
106,Lithuania,201505,3777,Belgium
109,World,201506,5950,Belgium
110,France,201506,84,Belgium
111,Ireland,201506,722,Belgium
112,Lithuania,201506,5144,Belgium
115,World,201507,4911,Belgium
116,France,201507,1339,Belgium
117,Ireland,201507,1308,Belgium
118,Lithuania,201507,2035,Belgium
119,Poland,201507,229,Belgium
122,World,201508,4343,Belgium
123,France,201508,1851,Belgium
124,Ireland,201508,1498,Belgium
125,Lithuania,201508,874,Belgium
126,Poland,201508,120,Belgium
129,World,201509,245795,Belgium
130,France,201509,462,Belgium
131,Ireland,201509,461,Belgium
132,Italy,201509,179349,Belgium
133,Lithuania,201509,4555,Belgium
134,Netherlands,201509,54628,Belgium
135,Poland,201509,453,Belgium
136,Turkey,201509,5888,Belgium
139,World,201510,224837,Belgium
140,France,201510,5666,Belgium
141,Ireland,201510,1198,Belgium
142,Italy,201510,217191,Belgium
143,Poland,201510,782,Belgium
146,World,201511,464713,Belgium
147,France,201511,2413,Belgium
148,Ireland,201511,774,Belgium
149,Italy,201511,456217,Belgium
150,Lithuania,201511,3243,Belgium
151,Netherlands,201511,291,Belgium
152,Poland,201511,1775,Belgium
155,World,201512,26496,Belgium
156,France,201512,3935,Belgium
157,Germany,201512,15990,Belgium
158,Ireland,201512,2634,Belgium
159,Lithuania,201512,1625,Belgium
160,Netherlands,201512,1121,Belgium
161,Poland,201512,1192,Belgium
162,World,201601,13681,Belgium
163,France,201601,236,Belgium
164,Ireland,201601,426,Belgium
165,Lithuania,201601,1947,Belgium
166,Poland,201601,128,Belgium
167,Turkey,201601,10943,Belgium
170,World,201602,5122,Belgium
171,France,201602,267,Belgium
172,Ireland,201602,479,Belgium
173,Italy,201602,842,Belgium
174,Lithuania,201602,2938,Belgium
175,Poland,201602,596,Belgium
176,World,201603,6607,Belgium
177,France,201603,817,Belgium
178,Ireland,201603,2423,Belgium
179,Italy,201603,1842,Belgium
180,Lithuania,201603,1162,Belgium
181,Poland,201603,363,Belgium
184,World,201604,4302,Belgium
185,France,201604,66,Belgium
186,Ireland,201604,1796,Belgium
187,Lithuania,201604,1982,Belgium
188,Poland,201604,458,Belgium
191,World,201605,3635,Belgium
192,France,201605,64,Belgium
193,Italy,201605,1945,Belgium
194,Lithuania,201605,1627,Belgium
197,World,201606,20836,Belgium
198,Hungary,201606,6997,Belgium
199,Ireland,201606,2520,Belgium
200,Italy,201606,4573,Belgium
201,Lithuania,201606,2940,Belgium
202,Poland,201606,3807,Belgium
203,World,201607,13774,Belgium
204,France,201607,401,Belgium
205,Hungary,201607,8332,Belgium
206,Ireland,201607,1014,Belgium
207,Italy,201607,1937,Belgium
208,Lithuania,201607,1774,Belgium
209,Poland,201607,316,Belgium
210,World,201608,17788,Belgium
211,France,201608,1161,Belgium
212,Hungary,201608,6820,Belgium
213,Ireland,201608,976,Belgium
214,Italy,201608,348,Belgium
215,Netherlands,201608,7995,Belgium
216,Poland,201608,488,Belgium
219,World,201609,230628,Belgium
220,France,201609,121,Belgium
221,Ireland,201609,1133,Belgium
222,Italy,201609,228270,Belgium
223,Lithuania,201609,1076,Belgium
224,Poland,201609,28,Belgium
228,World,201610,83506,Belgium
229,Hungary,201610,2749,Belgium
230,Ireland,201610,516,Belgium
231,Italy,201610,77012,Belgium
232,Lithuania,201610,2496,Belgium
233,Poland,201610,733,Belgium
234,World,201611,157482,Belgium
235,France,201611,9528,Belgium
236,Hungary,201611,758,Belgium
237,Italy,201611,143292,Belgium
238,Lithuania,201611,1897,Belgium
239,Netherlands,201611,720,Belgium
240,Poland,201611,1287,Belgium
241,World,201612,29754,Belgium
242,France,201612,9058,Belgium
243,Hungary,201612,1081,Belgium
244,Italy,201612,16278,Belgium
245,Lithuania,201612,1818,Belgium
246,Netherlands,201612,851,Belgium
247,Poland,201612,668,Belgium
0,World,201401,5624,China
1,France,201401,84,China
2,Ireland,201401,987,China
3,Italy,201401,1308,China
4,Lithuania,201401,2773,China
5,Poland,201401,473,China
6,World,201402,9564,China
7,Ireland,201402,1636,China
8,Italy,201402,2966,China
9,Lithuania,201402,3450,China
10,Poland,201402,1512,China
11,World,201403,4987,China
12,Lithuania,201403,4187,China
13,Poland,201403,800,China
14,World,201404,10823,China
15,France,201404,90,China
16,Ireland,201404,370,China
17,Italy,201404,1898,China
18,Lithuania,201404,3862,China
19,Turkey,201404,4603,China
20,World,201405,5773,China
21,Ireland,201405,817,China
22,Lithuania,201405,3785,China
23,Poland,201405,1171,China
24,World,201406,4449,China
25,France,201406,90,China
26,Ireland,201406,810,China
27,Italy,201406,1993,China
28,Poland,201406,1557,China
29,World,201407,4758,China
30,France,201407,1262,China
31,Ireland,201407,399,China
32,Lithuania,201407,2385,China
33,Poland,201407,712,China
34,World,201408,37410,China
35,France,201408,1861,China
36,Ireland,201408,1191,China
37,Italy,201408,1336,China
38,Lithuania,201408,3275,China
39,Netherlands,201408,29014,China
40,Poland,201408,733,China
44,World,201409,182326,China
45,France,201409,231,China
46,Ireland,201409,986,China
47,Italy,201409,147778,China
48,Lithuania,201409,2493,China
49,Netherlands,201409,29172,China
50,Poland,201409,1665,China
53,World,201410,197811,China
54,France,201410,374,China
55,Italy,201410,193005,China
56,Lithuania,201410,3114,China
57,Netherlands,201410,80,China
58,Poland,201410,1237,China
61,World,201411,233107,China
62,France,201411,7060,China
63,Ireland,201411,1541,China
64,Italy,201411,209724,China
65,Lithuania,201411,3304,China
66,Netherlands,201411,9947,China
67,Poland,201411,1532,China
68,World,201412,9586,China
69,France,201412,4786,China
70,Ireland,201412,997,China
71,Netherlands,201412,1671,China
72,Poland,201412,2133,China
76,World,201501,7889,China
77,France,201501,275,China
78,Ireland,201501,1237,China
79,Italy,201501,1521,China
80,Lithuania,201501,2561,China
81,Netherlands,201501,1860,China
82,Poland,201501,434,China
83,World,201502,2484,China
84,France,201502,254,China
85,Ireland,201502,529,China
86,Lithuania,201502,1018,China
87,Poland,201502,684,China
90,World,201503,5070,China
91,France,201503,162,China
92,Ireland,201503,852,China
93,Italy,201503,1648,China
94,Lithuania,201503,1553,China
95,Poland,201503,855,China
96,World,201504,5216,China
97,France,201504,136,China
98,Ireland,201504,2695,China
99,Lithuania,201504,1445,China
100,Poland,201504,940,China
103,World,201505,4827,China
104,France,201505,71,China
105,Ireland,201505,978,China
106,Lithuania,201505,3777,China
109,World,201506,5950,China
110,France,201506,84,China
111,Ireland,201506,722,China
112,Lithuania,201506,5144,China
115,World,201507,4911,China
116,France,201507,1339,China
117,Ireland,201507,1308,China
118,Lithuania,201507,2035,China
119,Poland,201507,229,China
122,World,201508,4343,China
123,France,201508,1851,China
124,Ireland,201508,1498,China
125,Lithuania,201508,874,China
126,Poland,201508,120,China
129,World,201509,245795,China
130,France,201509,462,China
131,Ireland,201509,461,China
132,Italy,201509,179349,China
133,Lithuania,201509,4555,China
134,Netherlands,201509,54628,China
135,Poland,201509,453,China
136,Turkey,201509,5888,China
139,World,201510,224837,China
140,France,201510,5666,China
141,Ireland,201510,1198,China
142,Italy,201510,217191,China
143,Poland,201510,782,China
146,World,201511,464713,China
147,France,201511,2413,China
148,Ireland,201511,774,China
149,Italy,201511,456217,China
150,Lithuania,201511,3243,China
151,Netherlands,201511,291,China
152,Poland,201511,1775,China
155,World,201512,26496,China
156,France,201512,3935,China
157,Germany,201512,15990,China
158,Ireland,201512,2634,China
159,Lithuania,201512,1625,China
160,Netherlands,201512,1121,China
161,Poland,201512,1192,China
162,World,201601,13681,China
163,France,201601,236,China
164,Ireland,201601,426,China
165,Lithuania,201601,1947,China
166,Poland,201601,128,China
167,Turkey,201601,10943,China
170,World,201602,5122,China
171,France,201602,267,China
172,Ireland,201602,479,China
173,Italy,201602,842,China
174,Lithuania,201602,2938,China
175,Poland,201602,596,China
176,World,201603,6607,China
177,France,201603,817,China
178,Ireland,201603,2423,China
179,Italy,201603,1842,China
180,Lithuania,201603,1162,China
181,Poland,201603,363,China
184,World,201604,4302,China
185,France,201604,66,China
186,Ireland,201604,1796,China
187,Lithuania,201604,1982,China
188,Poland,201604,458,China
191,World,201605,3635,China
192,France,201605,64,China
193,Italy,201605,1945,China
194,Lithuania,201605,1627,China
197,World,201606,20836,China
198,Hungary,201606,6997,China
199,Ireland,201606,2520,China
200,Italy,201606,4573,China
201,Lithuania,201606,2940,China
202,Poland,201606,3807,China
203,World,201607,13774,China
204,France,201607,401,China
205,Hungary,201607,8332,China
206,Ireland,201607,1014,China
207,Italy,201607,1937,China
208,Lithuania,201607,1774,China
209,Poland,201607,316,China
210,World,201608,17788,China
211,France,201608,1161,China
212,Hungary,201608,6820,China
213,Ireland,201608,976,China
214,Italy,201608,348,China
215,Netherlands,201608,7995,China
216,Poland,201608,488,China
219,World,201609,230628,China
220,France,201609,121,China
221,Ireland,201609,1133,China
222,Italy,201609,228270,China
223,Lithuania,201609,1076,China
224,Poland,201609,28,China
228,World,201610,83506,China
229,Hungary,201610,2749,China
230,Ireland,201610,516,China
231,Italy,201610,77012,China
232,Lithuania,201610,2496,China
233,Poland,201610,733,China
234,World,201611,157482,China
235,France,201611,9528,China
236,Hungary,201611,758,China
237,Italy,201611,143292,China
238,Lithuania,201611,1897,China
239,Netherlands,201611,720,China
240,Poland,201611,1287,China
241,World,201612,29754,China
242,France,201612,9058,China
243,Hungary,201612,1081,China
244,Italy,201612,16278,China
245,Lithuania,201612,1818,China
246,Netherlands,201612,851,China
247,Poland,201612,668,China
0,World,201401,5624,Czechia
1,France,201401,84,Czechia
2,Ireland,201401,987,Czechia
3,Italy,201401,1308,Czechia
4,Lithuania,201401,2773,Czechia
5,Poland,201401,473,Czechia
6,World,201402,9564,Czechia
7,Ireland,201402,1636,Czechia
8,Italy,201402,2966,Czechia
9,Lithuania,201402,3450,Czechia
10,Poland,201402,1512,Czechia
11,World,201403,4987,Czechia
12,Lithuania,201403,4187,Czechia
13,Poland,201403,800,Czechia
14,World,201404,10823,Czechia
15,France,201404,90,Czechia
16,Ireland,201404,370,Czechia
17,Italy,201404,1898,Czechia
18,Lithuania,201404,3862,Czechia
19,Turkey,201404,4603,Czechia
20,World,201405,5773,Czechia
21,Ireland,201405,817,Czechia
22,Lithuania,201405,3785,Czechia
23,Poland,201405,1171,Czechia
24,World,201406,4449,Czechia
25,France,201406,90,Czechia
26,Ireland,201406,810,Czechia
27,Italy,201406,1993,Czechia
28,Poland,201406,1557,Czechia
29,World,201407,4758,Czechia
30,France,201407,1262,Czechia
31,Ireland,201407,399,Czechia
32,Lithuania,201407,2385,Czechia
33,Poland,201407,712,Czechia
34,World,201408,37410,Czechia
35,France,201408,1861,Czechia
36,Ireland,201408,1191,Czechia
37,Italy,201408,1336,Czechia
38,Lithuania,201408,3275,Czechia
39,Netherlands,201408,29014,Czechia
40,Poland,201408,733,Czechia
44,World,201409,182326,Czechia
45,France,201409,231,Czechia
46,Ireland,201409,986,Czechia
47,Italy,201409,147778,Czechia
48,Lithuania,201409,2493,Czechia
49,Netherlands,201409,29172,Czechia
50,Poland,201409,1665,Czechia
53,World,201410,197811,Czechia
54,France,201410,374,Czechia
55,Italy,201410,193005,Czechia
56,Lithuania,201410,3114,Czechia
57,Netherlands,201410,80,Czechia
58,Poland,201410,1237,Czechia
61,World,201411,233107,Czechia
62,France,201411,7060,Czechia
63,Ireland,201411,1541,Czechia
64,Italy,201411,209724,Czechia
65,Lithuania,201411,3304,Czechia
