"","commoditycode","parent","description"
"74","01029041","010290","Domestic bovines of a weight of > 160 kg and <= 300 kg, for slaughter"
"75","01029049","010290","Live domestic bovines of a weight of > 160 kg and <= 300 kg (excl. animals for slaughter and pure-bred bre..."
"76","01029051","010290","Heifers /female domestic bovines that have never calved/ of a weight of > 300 kg, for slaughter"
"77","01029059","010290","Live heifers /female domestic bovines that have never calved/ of a weight of > 300 kg (excl. animals for s..."
"78","01029061","010290","Cows /female domestic bovines/ of a weight of > 300 kg, for slaughter (excl. heifers)"
"79","01029069","010290","Live cows /female domestic bovines/ of a weight of > 300 kg (excl. animals for slaughter, heifers and pure..."
"80","01029071","010290","Live domestic bovines of a weight of > 300 kg, for slaughter (excl. heifers and cows)"
"81","01029079","010290","Live domestic bovines of a weight of > 300 kg (excl. animals for slaughter, heifers, cows and pure-bred br..."
"82","01029090","010290","Live non-domestic bovines (excl. pure-bred for breeding)"
"83","01029091","010290","Live domestic bovine animals (excl. cattle and buffalo and pure-bred for breeding)"
"84","01029099","010290","Live bovine animals (excl. cattle, buffalo, pure-bred for breeding and domestic species)"
"85","0103","01","Live swine"
"86","01031000","0103","Pure-bred breeding swine"
"87","010391","0103","Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)"
"88","01039110","010391","Domestic swine, weighing < 50 kg (excl. pure-bred for breeding)"
"89","01039190","010391","Live non-domestic swine, weighing < 50 kg"
"90","010392","0103","Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)"
"91","01039211","010392","Live domestic sows, having farrowed at least once, weighing >= 160 kg (excl. pure-bred for breeding)"
"92","01039219","010392","Live domestic swine, weighing >= 50 kg (excl. sows having farrowed at least once and weighing >= 160 kg, and those pure-bred for breeding)"
"93","01039290","010392","Live non-domestic swine, weighing >= 50 kg"
"94","0104","01","Live sheep and goats"
"95","010410","0104","Live sheep"
"96","01041010","010410","Pure-bred sheep for breeding"
"97","01041030","010410","Live lambs ""sheep up to a year old"" (excl. purebred breeding animals)"
"98","01041080","010410","Live sheep (excl. lambs and pure-bred breeding animals)"
"99","010420","0104","Live goats"
"100","01042010","010420","Pure-bred breeding goats"
"101","01042090","010420","Live goats (excl. pure-bred for breeding)"
"102","0105","01","Live poultry, ""fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"""
"103","010511","0105","Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)"
"104","01051111","010511","Grandparent and parent female chicks of fowls of the species Gallus domesticus laying stocks of a weight of <= 185 g"
"105","01051119","010511","Grandparent and parent female chicks fowls of the species Gallus domesticus of a weight of <= 185 g (excl. laying stocks)"
"106","01051191","010511","Laying stock ""fowls of the species Gallus domesticus"" of a weight of <= 185 g (excl. grandparent and parent female chicks)"
"107","01051199","010511","Live fowls of the species Gallus domesticus of a weight of <= 185 g (excl. grandparent and parent female chicks and laying stocks)"
"108","01051200","0105","Live domestic turkeys, weighing <= 185 g"
"109","01051300","0105","Live domestic ducks, weighing <= 185 g"
"110","01051400","0105","Live domestic geese, weighing <= 185 g"
"111","01051500","0105","Live domestic guinea fowls, weighing <= 185 g"
"112","01051920","0105","Live domestic geese, weighing <= 185 g"
"113","01051990","0105","Live domestic ducks and guinea fowls, weighing <= 185 g"
"114","I","","LIVE ANIMALS; ANIMAL PRODUCTS"
"115","01","I","LIVE ANIMALS"
"116","0101","01","Live horses, asses, mules and hinnies"
"117","01011010","0101","Pure-bred breeding horses"
"118","01011090","0101","Pure-bred breeding asses"
"119","01012100","0101","Pure-bred breeding horses"
"120","010129","0101","Live horses (excl. pure-bred for breeding)"
"121","01012910","010129","Horses for slaughter"
"122","01012990","010129","Live horses (excl. for slaughter, pure-bred for breeding)"
"123","01013000","0101","Live asses"
"124","01019000","0101","Live mules and hinnies"
"125","01019011","0101","Horses for slaughter"
"126","01019019","0101","Live horses (excl. those pure bred for breeding and for slaughter)"
"127","01019030","0101","Live asses (excl. pure-bred for breeding)"
"128","01019090","0101","Live mules and hinnies"
"129","01059400","0105","Live fowls of the species Gallus domesticus, weighing > 185"
"130","010599","0105","Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g"
"131","01059910","010599","Live domestic ducks, weighing > 185 g"
"132","01059920","010599","Live domestic geese, weighing > 185 g"
"133","01059930","010599","Live domestic turkeys, weighing > 185 g"
"134","01059950","010599","Live domestic guinea fowls, weighing > 185 g"
"135","0106","01","Live animals (excl. horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, poultry, fish, crustaceans, molluscs and other aquatic invertebrates, and microorganic cultures etc.)"
"136","01061100","0106","Live primates"
"137","01061200","0106","Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
"138","01061300","0106","Live camels and other camelids [Camelidae]"
"139","010614","0106","Live rabbits and hares"
"140","01061410","010614","Live domestic rabbits"
"141","01061490","010614","Live rabbits and hares (excl. domestic rabbits)"
"142","01061900","0106","Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)"
"143","01061910","0106","Live domestic rabbits"
"144","01061990","0106","Live mammals (excl. primates, whales, dolphins and purpoises /mammals of the order Cetacea/, manatees and ..."
"145","01062000","0106","Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards"""
"146","01063100","0106","Live birds of prey"
"147","01063200","0106","Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"""
"148","01063300","0106","Live ostriches, and emus [Dromaius novaehollandiae]"
"149","010639","0106","Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)"
"150","01063910","010639","Live pigeons"
"151","01063980","010639","Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches, emus and pigeons)"
"152","01063990","010639","Live birds (excl. birds of prey, psittaciformes /incl. parrots, parrakeets, macaws and cockatoos/ and pige..."
"153","01064100","0106","Live bees"
"154","01064900","0106","Live insects (excl. bees)"
"155","01069000","0106","Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)"
"156","02","I","MEAT AND EDIBLE MEAT OFFAL"
"157","0201","02","Meat of bovine animals, fresh or chilled"
"158","02011000","0201","Carcases or half-carcases of bovine animals, fresh or chilled"
"159","020120","0201","Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)"
"160","02012020","020120","""Compensated"" quarters of bovine animals with bone in, fresh or chilled"
"161","02012030","020120","Unseparated or separated forequarters of bovine animals, with bone in, fresh or chilled"
"162","02012050","020120","Unseparated or separated hindquarters of bovine animals, with bone in, fresh or chilled"
"163","02012090","020120","Fresh or chilled bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated quarters"", forequarters and hindquarters)"
"164","02013000","0201","Fresh or chilled bovine meat, boneless"
"165","0202","02","Meat of bovine animals, frozen"
"166","02021000","0202","Frozen bovine carcases and half-carcases"
"167","020220","0202","Frozen bovine cuts, with bone in (excl. carcases and half-carcases)"
"168","02022010","020220","Frozen ""compensated"" bovine quarters, with bone in"
"169","02022030","020220","Frozen unseparated or separated bovine forequarters, with bone in"
"170","02022050","020220","Frozen unseparated or separated bovine hindquarters, with bone in"
"171","02022090","020220","Frozen bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated"" quarters, forequarters and hindquarters)"
"172","020230","0202","Frozen, boneless meat of bovine animals"
"173","02023010","020230","Frozen bovine boneless forequarters, whole or cut in max. 5 pieces, each quarter in 1 block; ""compensated"" quarters in 2 blocks, one containing the forequarter, whole or cut in max. 5 pieces, and the other the whole hindquarter, excl. the tenderloin, in one piece"
"174","02023050","020230","Frozen bovine boneless crop, chuck and blade and brisket cuts"
"175","02023090","020230","Frozen bovine boneless meat (excl. forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block ""compensated"" quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excl. the tenderloin, in one piece, crop, chuck and blade and brisket cuts)"
"176","0203","02","Meat of swine, fresh, chilled or frozen"
"177","020311","0203","Fresh or chilled carcases and half-carcases of swine"
"178","02031110","020311","Fresh or chilled domestic swine carcases and half-carcases"
"179","02031190","020311","Fresh or chilled non-domestic swine carcases and half-carcases"
"180","020312","0203","Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in"
"181","02031211","020312","Fresh or chilled with bone in, domestic swine hams and cuts thereof"
"182","02031219","020312","Fresh or chilled with bone in, domestic swine shoulders and cuts thereof"
"183","02031290","020312","Fresh or chilled hams, shoulders and cuts thereof with bone in of non-domestic swine"
"184","020319","0203","Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)"
"185","02031911","020319","Fresh or chilled fore-ends and cuts thereof of domestic swine"
"186","02031913","020319","Fresh or chilled loins and cuts thereof of domestic swine"
"187","02031915","020319","Fresh or chilled bellies ""streaky"" and cuts thereof of domestic swine"
"188","02031955","020319","Fresh or chilled boneless meat of domestic swine (excl. bellies and cuts thereof)"
"189","02031959","020319","Fresh or chilled meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)"
"190","02031990","020319","Fresh or chilled meat of non-domestic swine (excl. carcases and half-carcases, hams, shoulders and cuts thereof, with bone in)"
"191","020321","0203","Frozen carcases and half-carcases of swine"
"192","02032110","020321","Frozen domestic swine carcases and half-carcases"
"193","02032190","020321","Frozen non-domestic swine carcases and half-carcases"
"194","020322","0203","Frozen hams, shoulders and cuts thereof of swine, with bone in"
"195","02032211","020322","Frozen hams and cuts thereof of domestic swine, with bone in"
"196","02032219","020322","Frozen shoulders and cuts thereof of domestic swine, with bone in"
"197","02032290","020322","Frozen hams, shoulders and cuts thereof of non-domestic swine, with bone in"
"198","020329","0203","Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)"
"199","02032911","020329","Frozen fore-ends and cuts thereof of domestic swine"
"200","02032913","020329","Frozen loins and cuts thereof of domestic swine, with bone in"
"201","02032915","020329","Frozen bellies ""streaky"" and cuts thereof of domestic swine"
"202","02032955","020329","Frozen boneless meat of domestic swine (excl. bellies and cuts thereof)"
"203","02032959","020329","Frozen meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)"
"204","02032990","020329","Frozen meat of non-domestic swine (excl. carcases and half-carcases and hams, shoulders and cuts thereof, with bone in)"
"205","0204","02","Meat of sheep or goats, fresh, chilled or frozen"
"206","02041000","0204","Fresh or chilled lamb carcases and half-carcases"
"207","02042100","0204","Fresh or chilled sheep carcases and half-carcases (excl. lambs)"
"208","020422","0204","Fresh or chilled cuts of sheep, with bone in (excl. carcases and half-carcases)"
"209","02042210","020422","Fresh or chilled sheep short forequarters"
"210","02042230","020422","Fresh or chilled sheep chines and/or best ends"
"211","02042250","020422","Fresh or chilled sheep legs"
"212","02042290","020422","Fresh or chilled boneless cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)"
"213","02042300","0204","Fresh or chilled boneless cuts of sheep"
"214","02043000","0204","Frozen lamb carcases and half-carcases"
"215","02044100","0204","Frozen sheep carcases and half-carcases (excl. lambs)"
"216","020442","0204","Frozen cuts of sheep, with bone in (excl. carcases and half-carcases)"
"217","02044210","020442","Frozen sheep short forequarters"
"218","02044230","020442","Frozen sheep chines and/or best ends"
"219","02044250","020442","Frozen sheep legs"
"220","02044290","020442","Frozen cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)"
"221","020443","0204","Frozen boneless cuts of sheep"
"222","02044310","020443","Frozen meat of lambs, boneless, frozen"
"223","02044390","020443","Frozen meat of sheep, boneless (excl. lamb)"
"224","020450","0204","Fresh, chilled or frozen meat of goats"
"225","02045011","020450","Fresh or chilled goat carcases and half-carcases"
"226","02045013","020450","Fresh or chilled goat short forequarters"
"227","02045015","020450","Fresh or chilled goat chines and/or best ends"
"228","02045019","020450","Fresh or chilled legs of goat"
"229","02045031","020450","Fresh or chilled cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)"
"230","02045039","020450","Fresh or chilled boneless cuts of goat"
"231","02045051","020450","Frozen goat carcases and half-carcases"
"232","02045053","020450","Frozen goat short forequarters"
"233","02045055","020450","Frozen goat chines and/or best ends"
"234","02045059","020450","Frozen goat legs"
"235","02045071","020450","Frozen cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)"
"236","02045079","020450","Frozen boneless cuts of goat"
"237","020500","02","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen"
"238","02050020","020500","Fresh or chilled meat of horses, asses, mules or hinnies"
"239","02050080","020500","Frozen meat of horses, asses, mules or hinnies"
"240","0206","02","Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen"
"241","020610","0206","Fresh or chilled edible offal of bovine animals"
"242","02061010","020610","Fresh or chilled edible bovine offal for manufacture of pharmaceutical products"
"243","02061095","020610","Fresh or chilled edible bovine thick and thin skirt (excl. for manufacture of pharmaceutical products)"
"244","02061098","020610","Fresh or chilled edible bovine offal (excl. for manufacture of pharmaceutical products, thick and thin skirt)"
"245","02062100","0206","Frozen edible bovine tongues"
"246","02062200","0206","Frozen edible bovine livers"
"247","020629","0206","Frozen edible bovine offal (excl. tongues and livers)"
"248","02062910","020629","Frozen edible bovine offal for manufacture of pharmaceutical products (excl. tongues and livers)"
"249","02062991","020629","Frozen edible bovine thick and thin skirt (excl. for manufacture of pharmaceutical products)"
"250","02062999","020629","Frozen edible bovine offal (excl. for manufacture of pharmaceutical products, tongues, livers and thick and thin skirt)"
"251","02063000","0206","Fresh or chilled edible offal of swine"
"252","02064100","0206","Frozen edible livers of swine"
"253","02064900","0206","Edible offal of swine, frozen (excl. livers)"
"254","020680","0206","Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies"
"255","02068010","020680","Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies, for manufacture of pharmaceutical products"
"256","02068091","020680","Fresh or chilled edible offal of horses, asses, mules and hinnies (excl. for manufacture of pharmaceutical products)"
"257","02068099","020680","Fresh or chilled edible offal of sheep and goats (excl. for manufacture of pharmaceutical products)"
"258","020690","0206","Frozen edible offal of sheep, goats, horses, asses, mules and hinnies"
"259","02069010","020690","Frozen edible offal of sheep, goats, horses, mules and hinnies, for manufacture of pharmaceutical products"
"260","02069091","020690","Frozen edible offal of horses, asses, mules and hinnies (excl. for manufacture of pharmaceutical products)"
"261","02069099","020690","Frozen edible offal of sheep and goats (excl. for manufacture of pharmaceutical products)"
"262","0207","02","Meat and edible offal of fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls, fresh, chilled or frozen"
"263","020711","0207","Fresh or chilled fowls of the species Gallus domesticus, not cut in pieces"
"264","02071110","020711","Fresh or chilled, plucked and gutted fowls of species Gallus domesticus, with heads and feet, known as ""83% chickens"""
"265","02071130","020711","Fresh or chilled, plucked and drawn fowls of species Gallus domesticus, without heads and feet but with necks, hearts, livers and gizzards, known as ""70% chickens"""
"266","02071190","020711","Fresh or chilled, plucked and drawn fowls of species Gallus domesticus, without heads, feet, necks, hearts, livers and gizzards, known as ""65% chickens"", and other forms of fresh or chilled fowl, not cut in pieces (excl. ""83% and 70% chickens"")"
"267","020712","0207","Frozen fowls of the species Gallus domesticus, not cut in pieces"
"268","02071210","020712","Frozen fowls of species Gallus domesticus, plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as ""70% chickens"""
"269","02071290","020712","Frozen fowls of species Gallus domesticus, plucked and drawn, without heads, feet, necks, hearts, livers and gizzards, known as ""65% chickens"", and other forms of fowl, not cut in pieces (excl. ""70% chickens"")"
"270","020713","0207","Fresh or chilled cuts and edible offal of fowls of the species Gallus domesticus"
"271","02071310","020713","Fresh or chilled boneless cuts of fowls of the species Gallus domesticus"
"272","02071320","020713","Fresh or chilled halves or quarters of fowls of the species Gallus domesticus"
"273","02071330","020713","Fresh or chilled whole wings, with or without tips, of fowls of the species Gallus domesticus"
"274","02071340","020713","Fresh or chilled backs, necks, backs with necks attached, rumps and wing-tips of fowls of the species Gallus domesticus"
"275","02071350","020713","Fresh or chilled breasts and cuts thereof of fowls of the species Gallus domesticus, with bone in"
"276","02071360","020713","Fresh or chilled legs and cuts thereof of fowls of the species Gallus domesticus, with bone in"
"277","02071370","020713","Fresh or chilled cuts of fowls of the species Gallus domesticus, with bone in (excl. halves and quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and parts thereof)"
"278","02071391","020713","Fresh or chilled edible livers of fowls of the species Gallus domesticus"
"279","02071399","020713","Fresh or chilled edible offal of fowls of the species Gallus domesticus (excl. livers)"
"280","020714","0207","Frozen cuts and edible offal of fowls of the species Gallus domesticus"
"281","02071410","020714","Frozen boneless cuts of fowls of the species Gallus domesticus"
"282","02071420","020714","Frozen halves or quarters of fowls of the species Gallus domesticus"
"283","02071430","020714","Frozen whole wings, with or without tips, of fowls of the species Gallus domesticus"
"284","02071440","020714","Frozen backs, necks, backs with necks attached, rumps and wing-tips of fowls of the species Gallus domesticus"
"285","02071450","020714","Frozen breasts and cuts thereof of fowls of the species Gallus domesticus, with bone in"
"286","02071460","020714","Frozen legs and cuts thereof of fowls of the species Gallus domesticus, with bone in"
"287","02071470","020714","Frozen cuts of fowls of the species Gallus domesticus, with bone in (excl. halves or quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and cuts thereof)"
"288","02071491","020714","Frozen edible livers of fowls of the species Gallus domesticus"
"289","02071499","020714","Frozen edible offal of fowls of the species Gallus domesticus (excl. livers)"
"290","020724","0207","Fresh or chilled turkeys of the species domesticus, not cut in pieces"
"291","02072410","020724","Fresh or chilled, plucked and drawn turkeys of the species domesticus, without heads and feet but with necks, hearts, livers and gizzards, known as ""80% turkeys"""
"292","02072490","020724","Fresh or chilled, plucked and drawn turkeys of the species domesticus, without heads, feet, necks, hearts, livers and gizzards, known as ""73% turkeys"", and other forms of fresh or chilled turkeys, not cut in pieces (excl. ""80% turkeys"")"
"293","020725","0207","Frozen turkeys of the species domesticus, not cut into pieces"
"294","02072510","020725","Frozen turkeys of the species domesticus, plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as ""80% turkeys"""
"295","02072590","020725","Frozen turkeys of the species domesticus, plucked and drawn, without heads, feet, necks, hearts, livers and gizzards, known as ""73% turkeys"", and other forms of turkeys, not cut in pieces (excl. ""80% turkeys"")"
"296","020726","0207","Fresh or chilled cuts and edible offal of turkeys of the species domesticus"
"297","02072610","020726","Fresh or chilled boneless cuts of turkeys of the species domesticus"
"298","02072620","020726","Fresh or chilled halves or quarters of turkeys of the species domesticus"
"299","02072630","020726","Fresh or chilled whole wings, with or without tips, of turkeys of the species domesticus"
"300","02072640","020726","Fresh or chilled backs, necks, backs with necks attached, rumps and wing-tips of turkeys of the species domesticus"
"301","02072650","020726","Fresh or chilled breasts and cuts thereof of turkeys of the species domesticus, with bone in"
"302","02072660","020726","Fresh or chilled drumsticks and cuts thereof of turkeys of the species domesticus, with bone in"
"303","02072670","020726","Fresh or chilled legs and cuts thereof of turkeys of the species domesticus, with bone in (excl. drumsticks)"
"304","02072680","020726","Fresh or chilled cuts of turkeys of the species domesticus, with bone in (excl. halves or quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and cuts thereof)"
"305","02072691","020726","Fresh or chilled edible livers of turkeys of the species domesticus"
"306","02072699","020726","Fresh or chilled edible offal of turkeys of the species domesticus (excl. livers)"
"307","020727","0207","Frozen cuts and edible offal of turkeys of the species domesticus"
"308","02072710","020727","Frozen boneless cuts of turkeys of the species domesticus"
"309","02072720","020727","Frozen halves and quarters of turkeys of the species domesticus"
