period,trade_value_usd,origin,destin,period_date
201404,1598,Canada,Bolivia,2014-04-01
201404,340,Austria,Luxembourg,2014-04-01
201404,283,Belgium,Luxembourg,2014-04-01
201404,431,Canada,Luxembourg,2014-04-01
201404,1073,France,Luxembourg,2014-04-01
201404,4806,Germany,Luxembourg,2014-04-01
201404,289,United Kingdom,Luxembourg,2014-04-01
201403,934878,Canada,Germany,2014-03-01
201403,8736,Denmark,Germany,2014-03-01
201403,14665,France,Germany,2014-03-01
201403,57915,United States of America,Germany,2014-03-01
201403,10809,Austria,Germany,2014-03-01
201404,1879,Canada,Serbia,2014-04-01
201404,2656,Mexico,Serbia,2014-04-01
201509,33269,Belgium,United Kingdom,2015-09-01
201509,1416921,Canada,United Kingdom,2015-09-01
201509,7551,Sri Lanka,United Kingdom,2015-09-01
201509,46190,Denmark,United Kingdom,2015-09-01
201509,4950,France,United Kingdom,2015-09-01
201509,18662,Germany,United Kingdom,2015-09-01
201509,8912,Ireland,United Kingdom,2015-09-01
201509,7794,Netherlands,United Kingdom,2015-09-01
201509,1004,Poland,United Kingdom,2015-09-01
201509,1976,United States of America,United Kingdom,2015-09-01
201404,83458,Canada,Austria,2014-04-01
201404,93486,Denmark,Austria,2014-04-01
201404,276536,Germany,Austria,2014-04-01
201403,38654,Canada,Ireland,2014-03-01
201403,25610,France,Ireland,2014-03-01
201403,1418,Rep. of Korea,Ireland,2014-03-01
201403,51602,United Kingdom,Ireland,2014-03-01
201403,3982,Austria,Italy,2014-03-01
201403,26341,Belgium,Italy,2014-03-01
201403,140316,Canada,Italy,2014-03-01
201403,19028,Denmark,Italy,2014-03-01
201403,14461,France,Italy,2014-03-01
201403,77020,Germany,Italy,2014-03-01
201403,11648,Netherlands,Italy,2014-03-01
201403,54893,United Kingdom,Italy,2014-03-01
201403,2875,Belgium,Netherlands,2014-03-01
201403,126625,Canada,Netherlands,2014-03-01
201403,92982,Germany,Netherlands,2014-03-01
201403,968,United States of America,Netherlands,2014-03-01
201404,84563,Canada,Belgium,2014-04-01
201404,18399,Denmark,Belgium,2014-04-01
201404,11023,France,Belgium,2014-04-01
201404,3232,Lebanon,Belgium,2014-04-01
201404,58401,Netherlands,Belgium,2014-04-01
201404,373,United Kingdom,Belgium,2014-04-01
201404,88265,United States of America,Belgium,2014-04-01
201403,624,Canada,Panama,2014-03-01
201403,14002,United States of America,Panama,2014-03-01
201403,11906,United States of America,Philippines,2014-03-01
201403,30627,Austria,Poland,2014-03-01
201403,29945,Belgium,Poland,2014-03-01
201403,111621,Canada,Poland,2014-03-01
201403,7717,France,Poland,2014-03-01
201403,29737,Germany,Poland,2014-03-01
201403,3548,Netherlands,Poland,2014-03-01
201403,282,United Kingdom,Poland,2014-03-01
201403,3047,Canada,Iceland,2014-03-01
201403,387,United States of America,Iceland,2014-03-01
201404,938,Canada,Estonia,2014-04-01
201404,2145,Latvia,Estonia,2014-04-01
201404,7279,France,Bulgaria,2014-04-01
201404,10263,Turkey,Bulgaria,2014-04-01
201403,1288,United States of America,Malaysia,2014-03-01
201403,31,Bulgaria,Mexico,2014-03-01
201403,181455,Canada,Mexico,2014-03-01
201403,15977,United States of America,Mexico,2014-03-01
201404,1073943,Canada,France,2014-04-01
201404,28797,Denmark,France,2014-04-01
201404,14774,Netherlands,France,2014-04-01
201404,457,Turkey,France,2014-04-01
201404,97007,United Kingdom,France,2014-04-01
201404,19043,United States of America,France,2014-04-01
201403,489,Costa Rica,El Salvador,2014-03-01
201403,9984,Guatemala,El Salvador,2014-03-01
201403,57,United States of America,El Salvador,2014-03-01
201403,13016,Canada,Estonia,2014-03-01
201403,3726,Finland,Estonia,2014-03-01
201403,260,France,Estonia,2014-03-01
201403,67,Germany,Estonia,2014-03-01
201403,730,Czech Rep.,Lithuania,2014-03-01
201403,204,Germany,Lithuania,2014-03-01
201403,2851,Italy,Lithuania,2014-03-01
201403,3979,Latvia,Lithuania,2014-03-01
201403,107,United Kingdom,Lithuania,2014-03-01
201403,1738,Canada,Montenegro,2014-03-01
201403,484,Canada,Norway,2014-03-01
201403,8715,Denmark,Norway,2014-03-01
201403,354,Netherlands,Norway,2014-03-01
201403,150922,United States of America,Norway,2014-03-01
201404,216,France,Georgia,2014-04-01
201403,4385,Canada,Turkey,2014-03-01
201403,11313,Canada,Serbia,2014-03-01
201404,13012,Austria,Germany,2014-04-01
201404,1151866,Canada,Germany,2014-04-01
201404,24131,Denmark,Germany,2014-04-01
201404,39864,United States of America,Germany,2014-04-01
201403,4176,Canada,India,2014-03-01
201403,20043,United States of America,India,2014-03-01
201404,72137,Canada,Ireland,2014-04-01
201404,19773,France,Ireland,2014-04-01
201404,729,Malaysia,Ireland,2014-04-01
201404,7956,United Kingdom,Ireland,2014-04-01
201403,90867,Canada,Spain,2014-03-01
201403,7464,Denmark,Spain,2014-03-01
201403,43651,France,Spain,2014-03-01
201403,15232,Netherlands,Spain,2014-03-01
201403,249,Romania,Spain,2014-03-01
201404,3716,United Kingdom,Malta,2014-04-01
201403,10876,Canada,Ukraine,2014-03-01
201403,15063,France,Ukraine,2014-03-01
201403,3899,Germany,Ukraine,2014-03-01
201404,14642,Belgium,Netherlands,2014-04-01
201404,282310,Canada,Netherlands,2014-04-01
201404,1091,United States of America,Netherlands,2014-04-01
201403,411,United Kingdom,Bolivia,2014-03-01
201403,15538,Germany,Croatia,2014-03-01
201403,179,Italy,Croatia,2014-03-01
201403,478,France,Mauritius,2014-03-01
201405,200,Austria,Croatia,2014-05-01
201405,14953,Germany,Croatia,2014-05-01
201405,17,Italy,Croatia,2014-05-01
201405,1419,Netherlands,Croatia,2014-05-01
201405,174,United Kingdom,Croatia,2014-05-01
201502,815841,Canada,France,2015-02-01
201502,32621,Denmark,France,2015-02-01
201502,1177,Italy,France,2015-02-01
201502,2,Saudi Arabia,France,2015-02-01
201502,2201,United Kingdom,France,2015-02-01
201502,9886,United States of America,France,2015-02-01
201403,31353,United States of America,Guatemala,2014-03-01
201405,46385,Canada,Brazil,2014-05-01
201405,192,Japan,Brazil,2014-05-01
201403,101,Switzerland,Denmark,2014-03-01
201403,84447,United States of America,Denmark,2014-03-01
201403,367862,Canada,Denmark,2014-03-01
201403,15,France,Denmark,2014-03-01
201403,6904,Germany,Denmark,2014-03-01
201403,8,Italy,Denmark,2014-03-01
201403,1762,Netherlands,Denmark,2014-03-01
201403,36,Sweden,Denmark,2014-03-01
201408,55117,Austria,Poland,2014-08-01
201408,170459,Canada,Poland,2014-08-01
201408,6444,France,Poland,2014-08-01
201408,951,Germany,Poland,2014-08-01
201408,108,United Kingdom,Poland,2014-08-01
201405,7401,France,Lithuania,2014-05-01
201405,581,Latvia,Lithuania,2014-05-01
201405,61,United Kingdom,Lithuania,2014-05-01
201408,10074,Canada,South Africa,2014-08-01
201408,2030,Netherlands,South Africa,2014-08-01
201408,5756,Egypt,South Africa,2014-08-01
201408,90,United Kingdom,South Africa,2014-08-01
201408,538,Canada,Iceland,2014-08-01
201408,1275,Germany,Iceland,2014-08-01
201408,95,United States of America,Iceland,2014-08-01
201403,1354,Egypt,South Africa,2014-03-01
201403,56,United States of America,South Africa,2014-03-01
201403,4881,Germany,Greece,2014-03-01
201403,7,Netherlands,Greece,2014-03-01
201403,22675,United Kingdom,Greece,2014-03-01
201408,16088,Canada,Brazil,2014-08-01
201403,1036,Canada,New Caledonia,2014-03-01
201403,1116,France,New Caledonia,2014-03-01
201408,458652,Canada,Denmark,2014-08-01
201408,4024,France,Denmark,2014-08-01
201408,13780,Germany,Denmark,2014-08-01
201408,8,Italy,Denmark,2014-08-01
201408,32238,Netherlands,Denmark,2014-08-01
201408,56,Sweden,Denmark,2014-08-01
201408,94864,United States of America,Denmark,2014-08-01
201403,322,Canada,Antigua and Barbuda,2014-03-01
201403,167,United States of America,Antigua and Barbuda,2014-03-01
201403,8285,Australia,Singapore,2014-03-01
201403,4127,Canada,Singapore,2014-03-01
201403,47,France,Singapore,2014-03-01
201403,4759,Indonesia,Singapore,2014-03-01
201403,862,Japan,Singapore,2014-03-01
201403,16,Thailand,Singapore,2014-03-01
201403,5258,United Kingdom,Singapore,2014-03-01
201403,14488,United States of America,Singapore,2014-03-01
201405,9083,Guatemala,El Salvador,2014-05-01
201405,249,United States of America,El Salvador,2014-05-01
201403,257031,Canada,Switzerland,2014-03-01
201403,46599,Denmark,Switzerland,2014-03-01
201403,4959,France,Switzerland,2014-03-01
201403,142094,Germany,Switzerland,2014-03-01
201403,561,United Kingdom,Switzerland,2014-03-01
201403,1732,United States of America,Switzerland,2014-03-01
201403,9226,United States of America,Ethiopia,2014-03-01
201405,5870,Australia,New Zealand,2014-05-01
201405,221256,Canada,New Zealand,2014-05-01
201405,20667,United States of America,New Zealand,2014-05-01
201405,856,Canada,Montenegro,2014-05-01
201408,54,Canada,Mexico,2014-08-01
201408,49479,United States of America,Mexico,2014-08-01
201403,101,Canada,Finland,2014-03-01
201403,93151,France,Finland,2014-03-01
201403,310,Mexico,Finland,2014-03-01
201403,4117,Canada,Qatar,2014-03-01
201403,497,China,Qatar,2014-03-01
201403,1396,France,Qatar,2014-03-01
201403,12949,India,Qatar,2014-03-01
201403,32699,United States of America,Qatar,2014-03-01
201405,587591,Canada,Australia,2014-05-01
201405,92716,New Zealand,Australia,2014-05-01
201405,278870,United States of America,Australia,2014-05-01
201403,18213,United States of America,Bermuda,2014-03-01
201403,1374,Canada,Canada,2014-03-01
201403,690619,Canada,France,2014-03-01
201403,43338,Denmark,France,2014-03-01
201403,867,France,France,2014-03-01
201403,647,Israel,France,2014-03-01
201403,1269,Italy,France,2014-03-01
201403,4690,Netherlands,France,2014-03-01
201403,321,United Kingdom,Canada,2014-03-01
201403,24122,United States of America,Canada,2014-03-01
201403,102776,Spain,France,2014-03-01
201403,43310,United Kingdom,France,2014-03-01
201403,16115,United States of America,France,2014-03-01
201405,598,Canada,Barbados,2014-05-01
201405,169,United Kingdom,Barbados,2014-05-01
201405,3732,United States of America,Barbados,2014-05-01
201403,63956,Australia,Fiji,2014-03-01
201403,119,New Zealand,Fiji,2014-03-01
201403,6965,Canada,Slovakia,2014-03-01
201403,10649,China,Slovakia,2014-03-01
201403,17813,Germany,Slovakia,2014-03-01
201403,2858,United Kingdom,Slovakia,2014-03-01
201408,512,Costa Rica,El Salvador,2014-08-01
201408,5916,Guatemala,El Salvador,2014-08-01
201408,93,United States of America,El Salvador,2014-08-01
201403,4234,Austria,Slovakia,2014-03-01
201403,50,Portugal,Mozambique,2014-03-01
201403,4139,United States of America,Indonesia,2014-03-01
201408,88975,Canada,Finland,2014-08-01
201408,39056,France,Finland,2014-08-01
201408,597,Mexico,Finland,2014-08-01
201408,1093,United States of America,New Zealand,2014-08-01
201408,3212,Australia,New Zealand,2014-08-01
201408,142508,Canada,New Zealand,2014-08-01
201408,28,United Kingdom,New Zealand,2014-08-01
201403,132,Bulgaria,Romania,2014-03-01
201403,60946,Czech Rep.,Romania,2014-03-01
201403,9038,Denmark,Romania,2014-03-01
201403,513,Germany,Romania,2014-03-01
201403,2425,Hungary,Romania,2014-03-01
201403,378,United Kingdom,Romania,2014-03-01
201405,15292,Germany,Hungary,2014-05-01
201403,226,Germany,Kazakhstan,2014-03-01
201403,606,Russian Federation,Kazakhstan,2014-03-01
201403,4156,United States of America,Kazakhstan,2014-03-01
201403,63775,Canada,Colombia,2014-03-01
201403,49229,United States of America,Colombia,2014-03-01
201408,1237,United States of America,Chile,2014-08-01
201403,81,United Kingdom,Thailand,2014-03-01
201403,8152,United States of America,Thailand,2014-03-01
201403,1276,United States of America,Aruba,2014-03-01
201408,874,Canada,Barbados,2014-08-01
201408,171,United Kingdom,Barbados,2014-08-01
201408,932,United States of America,Barbados,2014-08-01
201408,176,Canada,Canada,2014-08-01
201408,16,Czech Rep.,Canada,2014-08-01
201408,23,Mexico,Canada,2014-08-01
201408,49,United Kingdom,Canada,2014-08-01
201408,386385,United States of America,Canada,2014-08-01
201403,799,South Africa,Zambia,2014-03-01
201408,5051,Canada,Montenegro,2014-08-01
201408,455,Croatia,Montenegro,2014-08-01
201403,198,New Zealand,Samoa,2014-03-01
201403,2339,United States of America,Samoa,2014-03-01
201403,1175,Japan,"China, Hong Kong SAR",2014-03-01
201403,2046,United States of America,"China, Hong Kong SAR",2014-03-01
201405,61522,Canada,Czech Rep.,2014-05-01
201405,11231,Denmark,Czech Rep.,2014-05-01
201405,65,France,Czech Rep.,2014-05-01
201405,38078,Germany,Czech Rep.,2014-05-01
201405,8949,Netherlands,Czech Rep.,2014-05-01
201405,10023,United Kingdom,Czech Rep.,2014-05-01
201405,199,Canada,Panama,2014-05-01
201405,13551,United States of America,Panama,2014-05-01
201405,2109,Canada,Malaysia,2014-05-01
201405,12096,United States of America,Malaysia,2014-05-01
201405,2132,Canada,Slovenia,2014-05-01
201405,436,Croatia,Slovenia,2014-05-01
201405,1119,France,Slovenia,2014-05-01
201405,2636,Germany,Slovenia,2014-05-01
201405,8,Hungary,Slovenia,2014-05-01
201405,855,Italy,Slovenia,2014-05-01
201405,20,Mexico,Slovenia,2014-05-01
201403,2058,Austria,Hungary,2014-03-01
201403,6021,Germany,Hungary,2014-03-01
201408,386,Canada,Estonia,2014-08-01
201408,3035,Finland,Estonia,2014-08-01
201405,1004,France,Mauritius,2014-05-01
201405,13323,South Africa,Mauritius,2014-05-01
201502,74,Germany,France,2015-02-01
201408,2035,Canada,Slovenia,2014-08-01
201408,64,Croatia,Slovenia,2014-08-01
201408,67,Czech Rep.,Slovenia,2014-08-01
201408,1049,France,Slovenia,2014-08-01
201408,2418,Germany,Slovenia,2014-08-01
201408,294,Italy,Slovenia,2014-08-01
201408,113,Poland,Slovenia,2014-08-01
201403,471,United Kingdom,Cyprus,2014-03-01
201403,2531,United States of America,Cyprus,2014-03-01
201403,13251,Germany,Sweden,2014-03-01
201403,1565,Canada,Bosnia Herzegovina,2014-03-01
201403,68,Germany,Bosnia Herzegovina,2014-03-01
201403,3860,United States of America,Belize,2014-03-01
201403,2921764,Canada,Japan,2014-03-01
201502,16532,Netherlands,France,2015-02-01
201403,790,Canada,French Polynesia,2014-03-01
201403,169,France,French Polynesia,2014-03-01
201403,72,Singapore,French Polynesia,2014-03-01
201403,1459,United States of America,French Polynesia,2014-03-01
201403,639,Finland,Russian Federation,2014-03-01
201504,417,United States of America,Seychelles,2015-04-01
201403,834,France,Latvia,2014-03-01
201403,658,Germany,Latvia,2014-03-01
201403,4614,Lithuania,Latvia,2014-03-01
201403,164,United States of America,Latvia,2014-03-01
201403,6802,Canada,Russian Federation,2014-03-01
201403,27111,Denmark,Russian Federation,2014-03-01
201403,1589,France,Russian Federation,2014-03-01
201403,1673,Italy,Russian Federation,2014-03-01
201403,399,France,Senegal,2014-03-01
201504,1896,United Arab Emirates,Seychelles,2015-04-01
201504,52,United Kingdom,Seychelles,2015-04-01
201504,926,United Kingdom,Cyprus,2015-04-01
201408,52706,Belgium,United Kingdom,2014-08-01
201408,523326,Canada,United Kingdom,2014-08-01
201408,1846,Sri Lanka,United Kingdom,2014-08-01
201408,6081,Denmark,United Kingdom,2014-08-01
201408,5408,France,United Kingdom,2014-08-01
201408,14017,Ireland,United Kingdom,2014-08-01
201408,16031,Netherlands,United Kingdom,2014-08-01
201408,90369,United States of America,United Kingdom,2014-08-01
201504,2540,United Kingdom,Greece,2015-04-01
201504,2823,Bulgaria,Greece,2015-04-01
201504,4165,France,Greece,2015-04-01
201504,283,Czech Rep.,Lithuania,2015-04-01
201504,2172,France,Lithuania,2015-04-01
201504,325,Latvia,Lithuania,2015-04-01
201504,752,Belgium,Luxembourg,2015-04-01
201504,1955,Canada,Luxembourg,2015-04-01
201504,1013,France,Luxembourg,2015-04-01
201504,3360,Germany,Luxembourg,2015-04-01
201504,274,Portugal,Luxembourg,2015-04-01
201504,10124,Canada,TFYR of Macedonia,2015-04-01
201504,4518,Guatemala,El Salvador,2015-04-01
201504,52,United States of America,El Salvador,2015-04-01
201504,311,United Kingdom,Barbados,2015-04-01
201504,3674,United States of America,Barbados,2015-04-01
201408,179,Canada,Croatia,2014-08-01
201408,572,Czech Rep.,Croatia,2014-08-01
201408,13951,Germany,Croatia,2014-08-01
201408,63,Italy,Croatia,2014-08-01
201408,73,Netherlands,Croatia,2014-08-01
201504,750,Canada,Finland,2015-04-01
201504,1141,China,Finland,2015-04-01
201504,13618,Denmark,Finland,2015-04-01
201504,425,Israel,Finland,2015-04-01
201504,11318,Canada,Mexico,2015-04-01
201504,295,China,Mexico,2015-04-01
201504,22184,United States of America,Mexico,2015-04-01
201504,13405,Canada,Norway,2015-04-01
201504,1626,United States of America,Norway,2015-04-01
201504,143,Germany,Montenegro,2015-04-01
201504,5894,Australia,New Zealand,2015-04-01
201504,389697,Canada,New Zealand,2015-04-01
201504,397,Indonesia,New Zealand,2015-04-01
201504,36,United Kingdom,New Zealand,2015-04-01
201504,1358,United States of America,New Zealand,2015-04-01
201504,32,China,South Africa,2015-04-01
201504,1930,Netherlands,South Africa,2015-04-01
201504,13344,Egypt,South Africa,2015-04-01
201504,14855,United States of America,South Africa,2015-04-01
201405,263708,Canada,Denmark,2014-05-01
201405,18,France,Denmark,2014-05-01
201405,8,Italy,Denmark,2014-05-01
201405,7434,Netherlands,Denmark,2014-05-01
201405,22,Sweden,Denmark,2014-05-01
201405,16938,United States of America,Denmark,2014-05-01
201504,30612,Germany,Switzerland,2015-04-01
201504,12,Italy,Switzerland,2015-04-01
201504,1977,Portugal,Switzerland,2015-04-01
201504,921,India,Switzerland,2015-04-01
201504,5,Thailand,Switzerland,2015-04-01
201504,345,United Kingdom,Switzerland,2015-04-01
201504,245,United States of America,Switzerland,2015-04-01
201504,2766,Austria,Switzerland,2015-04-01
201504,228338,Canada,Switzerland,2015-04-01
201504,10354,France,Switzerland,2015-04-01
201504,30616,Hungary,Czech Rep.,2015-04-01
201405,63210,Austria,Poland,2014-05-01
201405,47513,Belgium,Poland,2014-05-01
201405,89252,Canada,Poland,2014-05-01
201405,82316,France,Poland,2014-05-01
201405,30421,Germany,Poland,2014-05-01
201405,1959,Netherlands,Poland,2014-05-01
201405,423,United Kingdom,Poland,2014-05-01
201405,868,Mexico,Iceland,2014-05-01
201405,1163,Netherlands,Iceland,2014-05-01
201405,20771,United States of America,Iceland,2014-05-01
201405,957,Canada,Serbia,2014-05-01
201405,64,Rep. of Korea,Serbia,2014-05-01
201504,123228,Canada,Czech Rep.,2015-04-01
201504,26161,Denmark,Czech Rep.,2015-04-01
201504,23,France,Czech Rep.,2015-04-01
201504,30130,Germany,Czech Rep.,2015-04-01
201504,23088,Netherlands,Czech Rep.,2015-04-01
201504,44,Poland,Czech Rep.,2015-04-01
201504,14111,United Kingdom,Czech Rep.,2015-04-01
201504,17950,United States of America,Czech Rep.,2015-04-01
201408,39065,Canada,Czech Rep.,2014-08-01
201408,32250,Denmark,Czech Rep.,2014-08-01
201408,18191,Germany,Czech Rep.,2014-08-01
201504,50,Canada,Estonia,2015-04-01
201504,2322,Finland,Estonia,2015-04-01
201405,3693,Canada,Bosnia Herzegovina,2014-05-01
201405,132,Germany,Bosnia Herzegovina,2014-05-01
201405,113,Italy,Bosnia Herzegovina,2014-05-01
201405,86541,Canada,Austria,2014-05-01
201405,26806,Denmark,Austria,2014-05-01
201408,103,Canada,TFYR of Macedonia,2014-08-01
201408,1874,Canada,Bosnia Herzegovina,2014-08-01
201408,87,Germany,Bosnia Herzegovina,2014-08-01
201405,179694,Canada,Belgium,2014-05-01
201405,26044,Denmark,Belgium,2014-05-01
201405,4504,France,Belgium,2014-05-01
201405,558,Germany,Belgium,2014-05-01
201405,3538,Lebanon,Belgium,2014-05-01
201405,79329,Netherlands,Belgium,2014-05-01
201405,408,United Kingdom,Belgium,2014-05-01
201408,344,Austria,Luxembourg,2014-08-01
201408,698,Belgium,Luxembourg,2014-08-01
201408,346,Canada,Luxembourg,2014-08-01
201408,1103,France,Luxembourg,2014-08-01
201408,3056,Germany,Luxembourg,2014-08-01
201408,385,United Kingdom,Luxembourg,2014-08-01
201504,31421,United States of America,Denmark,2015-04-01
201408,1866,Canada,Serbia,2014-08-01
201408,360,France,Serbia,2014-08-01
201504,175396,Canada,Chile,2015-04-01
201408,85,United States of America,India,2014-08-01
201504,486954,Canada,Denmark,2015-04-01
201504,3271,France,Denmark,2015-04-01
201504,2862,Germany,Denmark,2015-04-01
201504,13,Latvia,Denmark,2015-04-01
201504,3733,Netherlands,Denmark,2015-04-01
201504,62,Poland,Denmark,2015-04-01
201504,6,Spain,Denmark,2015-04-01
201504,222,Sweden,Denmark,2015-04-01
201504,75,Switzerland,Denmark,2015-04-01
201504,6,United Kingdom,Denmark,2015-04-01
201408,78,Czech Rep.,Lithuania,2014-08-01
201408,1190,Latvia,Lithuania,2014-08-01
201408,85,United Kingdom,Lithuania,2014-08-01
201408,181923,Canada,Austria,2014-08-01
201408,21732,Denmark,Austria,2014-08-01
201504,345,Austria,Slovakia,2015-04-01
201504,22,Canada,Slovakia,2015-04-01
201504,8058,China,Slovakia,2015-04-01
201504,5624,Czech Rep.,Slovakia,2015-04-01
201504,15042,Germany,Slovakia,2015-04-01
201504,9783,Hungary,Slovakia,2015-04-01
201504,60,Ireland,Slovakia,2015-04-01
201504,12844,Poland,Slovakia,2015-04-01
201504,705,United Kingdom,Slovakia,2015-04-01
201504,65369,Austria,Poland,2015-04-01
201504,121994,Canada,Poland,2015-04-01
201504,18766,Germany,Poland,2015-04-01
201504,456,Netherlands,Poland,2015-04-01
201408,112334,Canada,Belgium,2014-08-01
201408,12650,Denmark,Belgium,2014-08-01
201408,586,Germany,Belgium,2014-08-01
201408,39043,Netherlands,Belgium,2014-08-01
